index,paper_run_id,event_time_utc,entered_at_utc,settled_at_utc,market_start_utc,market_slug,selected_outcome,entry_price,stake_usd,size_shares,settlement_value_usd,pnl_usd,cumulative_pnl_usd
1,ded4f483-0303-4fd3-85df-8665db833fcb,2026-07-04 15:19:05,2026-07-04 15:09:37,2026-07-04 15:19:05,2026-07-04 15:10:00,eth-updown-5m-1783177800,Down,0.56945985,6.0093,10.55263158,10.55263158,4.54333158,4.54333158
2,265633c6-c1f8-4304-9aba-a3e556034d84,2026-07-05 01:29:51,2026-07-05 01:19:38,2026-07-05 01:29:51,2026-07-05 01:20:00,eth-updown-5m-1783214400,Up,0.54782122,6.00929997,10.96945455,10.96945455,4.96015458,9.50348616
3,40456e6b-8b00-43f3-9dc5-d6f6db7f6d46,2026-07-05 01:34:55,2026-07-05 01:24:38,2026-07-05 01:34:55,2026-07-05 01:25:00,eth-updown-5m-1783214700,Up,0.56,6.0093,10.73089286,10.73089286,4.72159286,14.22507902
4,8430ac99-8fb3-4cb7-86ef-f9d1cf90bce6,2026-07-05 01:44:39,2026-07-05 01:34:37,2026-07-05 01:44:39,2026-07-05 01:35:00,eth-updown-5m-1783215300,Up,0.54546152,6.00929998,11.01690909,11.01690909,5.00760911,19.23268813
5,d86fff3c-b541-4a31-9a73-2089c7ffb2b7,2026-07-05 01:49:59,2026-07-05 01:39:37,2026-07-05 01:49:59,2026-07-05 01:40:00,eth-updown-5m-1783215600,Up,0.54546152,6.00929998,11.01690909,11.01690909,5.00760911,24.24029724
6,5f875de2-0d61-4841-aa0c-e767ca4572e0,2026-07-05 01:51:37,2026-07-05 01:44:36,2026-07-05 01:51:37,2026-07-05 01:45:00,eth-updown-5m-1783215900,Up,0.53,6.0093,11.33830189,0,-6.0093,18.23099724
7,ce833173-1726-4bdb-af57-74e0edb6e933,2026-07-05 02:00:17,2026-07-05 01:49:37,2026-07-05 02:00:17,2026-07-05 01:50:00,eth-updown-5m-1783216200,Up,0.52697459,6.00930005,11.40339623,11.40339623,5.39409618,23.62509342
8,21463f4e-de0b-4c5d-a9e4-3bed644ffbab,2026-07-05 02:02:13,2026-07-05 01:54:36,2026-07-05 02:02:13,2026-07-05 01:55:00,eth-updown-5m-1783216500,Up,0.52,6.0093,11.55634615,11.55634615,5.54704615,29.17213957
9,cc6ec48e-5d40-4c5c-9d9a-d55e310e873d,2026-07-05 02:08:06,2026-07-05 01:59:38,2026-07-05 02:08:06,2026-07-05 02:00:00,eth-updown-5m-1783216800,Up,0.5,6.0093,12.0186,0,-6.0093,23.16283957
10,6adb21ed-972c-4cc1-a82a-38de3ad5fdb4,2026-07-05 02:13:58,2026-07-05 02:04:37,2026-07-05 02:13:58,2026-07-05 02:05:00,eth-updown-5m-1783217100,Up,0.52,6.0093,11.55634615,0,-6.0093,17.15353957
11,49bbdb2d-053d-4a46-9dd5-b89cfe642aeb,2026-07-05 02:20:18,2026-07-05 02:09:37,2026-07-05 02:20:18,2026-07-05 02:10:00,eth-updown-5m-1783217400,Up,0.53813734,6.00929995,11.16685185,0,-6.00929995,11.14423962
12,d8e5d2d1-abec-4217-ac8a-86bb66992cff,2026-07-05 02:25:03,2026-07-05 02:14:37,2026-07-05 02:25:03,2026-07-05 02:15:00,eth-updown-5m-1783217700,Up,0.56,6.0093,10.73089286,10.73089286,4.72159286,15.86583248
13,4f8cd1a9-9a33-4bfb-8ae1-8a4a7a6fbc1b,2026-07-05 02:28:45,2026-07-05 02:19:37,2026-07-05 02:28:45,2026-07-05 02:20:00,eth-updown-5m-1783218000,Up,0.53083952,6.00929997,11.32037037,0,-6.00929997,9.85653251
14,5b8711fc-41cd-4b99-bf9b-b943d7e8b0bc,2026-07-05 02:32:57,2026-07-05 02:24:36,2026-07-05 02:32:57,2026-07-05 02:25:00,eth-updown-5m-1783218300,Up,0.52562656,6.00930003,11.43264151,11.43264151,5.42334148,15.27987399
15,14d045ec-5f35-4e91-8f2e-76b99999d8d0,2026-07-05 02:39:09,2026-07-05 02:29:37,2026-07-05 02:39:09,2026-07-05 02:30:00,eth-updown-5m-1783218600,Up,0.52,6.0093,11.55634615,11.55634615,5.54704615,20.82692014
16,ded76ca0-65db-481f-827e-5dbf2f32979b,2026-07-05 02:45:34,2026-07-05 02:34:37,2026-07-05 02:45:34,2026-07-05 02:35:00,eth-updown-5m-1783218900,Up,0.51,6.0093,11.78294118,0,-6.0093,14.81762014
17,89fa3b44-0f7e-423c-8f24-010486c3f47d,2026-07-05 02:47:29,2026-07-05 02:39:36,2026-07-05 02:47:29,2026-07-05 02:40:00,eth-updown-5m-1783219200,Up,0.5,6.0093,12.0186,0,-6.0093,8.80832014
18,711386ca-a7e7-451d-8b3f-95fa8a484f76,2026-07-05 02:54:17,2026-07-05 02:44:37,2026-07-05 02:54:17,2026-07-05 02:45:00,eth-updown-5m-1783219500,Up,0.53,6.0093,11.33830189,11.33830189,5.32900189,14.13732203
19,ef319dda-9c02-4220-84c7-bc9686633095,2026-07-05 02:57:49,2026-07-05 02:49:37,2026-07-05 02:57:49,2026-07-05 02:50:00,eth-updown-5m-1783219800,Up,0.54,6.0093,11.12833333,11.12833333,5.11903333,19.25635536
20,0e64cfad-ad2c-473a-af8a-af905d9512e5,2026-07-05 03:03:08,2026-07-05 02:54:36,2026-07-05 03:03:08,2026-07-05 02:55:00,eth-updown-5m-1783220100,Up,0.53,6.0093,11.33830189,11.33830189,5.32900189,24.58535725
