"asset","market_slug","market_start_utc","market_end_utc","requested_window_rows","requested_window_samples","first_window_sample_utc","last_window_sample_utc","first_window_seconds_from_start","last_window_seconds_from_start","binance_start_reference","binance_last_window_price","binance_window_move_bps","inferred_window_result","up_first_bid","up_first_ask","up_last_bid","up_last_ask","down_first_bid","down_first_ask","down_last_bid","down_last_ask"
"BTC","btc-updown-5m-1781807700","2026-06-18T18:35:00.0000000+00:00","2026-06-18T18:40:00.0000000+00:00","36","18","2026-06-18T18:34:15.2717949+00:00","2026-06-18T18:39:49.0253265+00:00","-44.7","289.0","62788.01000000","62716.00000000","-11.4688","Down","0.5","0.51","","0.01","0.49","0.5","0.99",""
"ETH","eth-updown-5m-1781807700","2026-06-18T18:35:00.0000000+00:00","2026-06-18T18:40:00.0000000+00:00","36","18","2026-06-18T18:34:15.2717949+00:00","2026-06-18T18:39:49.0253265+00:00","-44.7","289.0","1684.51000000","1681.83000000","-15.9097","Down","0.48","0.49","","0.01","0.51","0.52","0.99",""
"SOL","sol-updown-5m-1781807700","2026-06-18T18:35:00.0000000+00:00","2026-06-18T18:40:00.0000000+00:00","36","18","2026-06-18T18:34:15.2717949+00:00","2026-06-18T18:39:49.0253265+00:00","-44.7","289.0","68.66000000","68.52000000","-20.3903","Down","0.49","0.5","","0.01","0.5","0.51","0.99",""
"BTC","btc-updown-5m-1781808000","2026-06-18T18:40:00.0000000+00:00","2026-06-18T18:45:00.0000000+00:00","36","18","2026-06-18T18:39:06.3254890+00:00","2026-06-18T18:44:42.3108255+00:00","-53.7","282.3","62722.91000000","62778.00000000","8.7831","Up","0.49","0.5","0.99","","0.5","0.51","","0.01"
"ETH","eth-updown-5m-1781808000","2026-06-18T18:40:00.0000000+00:00","2026-06-18T18:45:00.0000000+00:00","36","18","2026-06-18T18:39:06.3254890+00:00","2026-06-18T18:44:42.3108255+00:00","-53.7","282.3","1682.20000000","1685.52000000","19.7361","Up","0.49","0.5","0.99","","0.5","0.51","","0.01"
"SOL","sol-updown-5m-1781808000","2026-06-18T18:40:00.0000000+00:00","2026-06-18T18:45:00.0000000+00:00","36","18","2026-06-18T18:39:06.3254890+00:00","2026-06-18T18:44:42.3108255+00:00","-53.7","282.3","68.56000000","68.73000000","24.7958","Up","0.5","0.51","0.99","","0.49","0.5","","0.01"
"BTC","btc-updown-5m-1781808300","2026-06-18T18:45:00.0000000+00:00","2026-06-18T18:50:00.0000000+00:00","38","19","2026-06-18T18:44:00.6358615+00:00","2026-06-18T18:49:42.9676834+00:00","-59.4","283.0","62772.01000000","62778.00000000","0.9542","Up","0.5","0.51","0.91","0.92","0.49","0.5","0.12","0.13"
"ETH","eth-updown-5m-1781808300","2026-06-18T18:45:00.0000000+00:00","2026-06-18T18:50:00.0000000+00:00","38","19","2026-06-18T18:44:00.6358615+00:00","2026-06-18T18:49:42.9676834+00:00","-59.4","283.0","1685.40000000","1685.62000000","1.3053","Up","0.48","0.51","0.79","0.8","0.49","0.52","0.2","0.21"
"SOL","sol-updown-5m-1781808300","2026-06-18T18:45:00.0000000+00:00","2026-06-18T18:50:00.0000000+00:00","38","19","2026-06-18T18:44:00.6358615+00:00","2026-06-18T18:49:42.9676834+00:00","-59.4","283.0","68.73000000","68.80000000","10.1848","Up","0.5","0.51","0.98","0.99","0.49","0.5","0.01","0.02"
