rank,asset,offset_seconds,depth,threshold_bps,catalog_equivalent_rows,settled_trades,win_rate_pct,roi_pct_at_0_50,break_even_entry_price,roi_pct_at_0_52,wilson_lower_win_rate_pct,z_score,active_months,profitable_active_months,suitability
54,SOL,20,20,55,2,1959,56.2532,12.3301,0.5625,8.1792,54.0463,5.5354,7,7,"research_candidate"
55,SOL,10,40,80,2,1800,56.2222,12.3145,0.5622,8.1197,53.9194,5.2797,7,6,"research_candidate"
56,SOL,5,40,90,2,1389,56.2275,12.3044,0.5623,8.1298,53.6048,4.6419,7,7,"research_candidate"
57,BTC,5,30,40,2,2861,56.1342,12.2684,0.5613,7.9504,54.3089,6.5622,7,6,"research_candidate"
58,BTC,10,40,45,2,2945,56.129,12.2581,0.5613,7.9404,54.33,6.6522,7,6,"research_candidate"
59,SOL,10,20,85,2,601,56.2396,12.2349,0.5624,8.1531,52.2461,3.0593,6,6,"research_candidate"
60,SOL,10,20,65,2,1349,56.1898,12.2255,0.5619,8.0573,53.5282,4.5468,7,5,"research_candidate"
61,SOL,25,40,80,2,1794,56.1873,12.2247,0.5619,8.0525,53.8805,5.2413,7,6,"research_candidate"
62,ETH,5,20,80,2,688,56.1047,12.2093,0.561,7.8936,52.3726,3.2025,6,5,"research_candidate"
63,BTC,20,30,40,2,2777,56.1037,12.2074,0.561,7.8917,54.2508,6.433,7,6,"research_candidate"
64,SOL,5,40,80,2,1839,56.1718,12.2043,0.5617,8.0228,53.8935,5.2934,7,7,"research_candidate"
65,BTC,10,30,40,2,2811,56.101,12.2021,0.561,7.8866,54.2594,6.4694,7,6,"research_candidate"
66,BTC,25,30,50,2,1649,56.0946,12.1892,0.5609,7.8742,53.6879,4.9498,7,6,"research_candidate"
67,SOL,30,30,65,2,2064,56.1531,12.1823,0.5615,7.9867,54.0029,5.5909,7,6,"research_candidate"
68,SOL,30,20,85,2,573,56.1955,12.1784,0.562,8.0682,52.1051,2.9661,6,5,"research_candidate"
69,ETH,10,20,75,2,797,56.0853,12.1706,0.5609,7.8564,52.6187,3.4359,6,5,"research_candidate"
70,ETH,10,20,80,2,674,56.0831,12.1662,0.5608,7.8521,52.3123,3.1585,6,5,"research_candidate"
71,SOL,30,30,75,2,1466,56.1392,12.1457,0.5614,7.9599,53.5862,4.7012,7,7,"research_candidate"
