"asset","offset_seconds","depth","threshold_bps","catalog_equivalent_rows","entries","settled_trades","wins","losses","ties","win_rate_pct","roi_pct_at_0_55","pnl_units_at_0_55","break_even_entry_price","wilson_lower_win_rate_pct","z_score","avg_abs_deviation_bps","avg_signed_deviation_bps","trades_per_day","max_drawdown_units","longest_loss_streak","active_months","profitable_active_months","worst_month_roi_pct_at_0_55","best_month_roi_pct_at_0_55","suitability_at_0_55"
"BTC","30","40","45","2","2903","2903","1634","1269","0","56.2866","2.3393","37.35","0.5629","54.475","6.7744","70.8352","-3.9993","15.9505","17","9","7","5","-9.0909","5.0254","watch_only"
"SOL","5","30","95","2","829","817","460","357","12","56.3035","2.3358","10.65","0.563","52.8807","3.6035","135.2328","-5.7822","4.5549","9","8","6","3","-11.8457","7.5188","watch_only"
"SOL","30","20","80","2","702","691","389","302","11","56.2952","2.3181","8.95","0.563","52.5721","3.3096","114.8937","0.7619","3.8571","11","8","6","2","-9.0909","8.5375","reject"
"SOL","10","40","70","2","2489","2460","1384","1076","29","56.2602","2.2645","31","0.5626","54.2916","6.2099","108.0767","-5.9683","13.6758","15","9","7","4","-5.9591","7.1413","watch_only"
"SOL","10","40","85","2","1584","1566","881","685","18","56.258","2.2612","19.7","0.5626","53.7886","4.9529","126.0516","-6.1727","8.7033","13","7","7","3","-9.0909","7.0396","reject"
"BTC","10","20","35","2","2458","2458","1382","1076","0","56.2246","2.2265","30.1","0.5622","54.2551","6.1721","54.5675","-1.7726","13.5055","21","10","7","4","-9.0909","12.8527","watch_only"
"SOL","10","20","85","2","613","601","338","263","12","56.2396","2.2097","7.45","0.5624","52.2461","3.0593","121.7439","1.0105","3.3681","9","6","6","4","-5.1383","14.4781","watch_only"
"SOL","5","40","90","2","1406","1389","781","608","17","56.2275","2.2048","17.05","0.5623","53.6048","4.6419","131.3668","-4.3881","7.7253","13","7","7","4","-6.1584","6.4712","watch_only"
"SOL","10","40","80","2","1819","1800","1012","788","19","56.2222","2.199","22","0.5622","53.9194","5.2797","120.428","-6.1685","9.9945","12","8","7","3","-9.0909","7.4723","reject"
"BTC","30","60","55","2","2920","2920","1641","1279","0","56.1986","2.1793","35","0.562","54.3921","6.6991","86.0165","-4.9061","16.044","16","9","7","5","-10.3362","5.7851","watch_only"
