asset,offset_seconds,depth,threshold_bps,month,settled_trades,wins,losses,ties,win_rate_pct,roi_pct_at_0_50,pnl_units
SOL,5,100,0,2026-06,5305,2765,2540,167,52.1206,4.1118,225
SOL,5,100,5,2025-12,2832,1480,1352,91,52.2599,4.3791,128
SOL,5,100,5,2026-01,7363,3882,3481,246,52.7231,5.2701,401
SOL,5,100,5,2026-02,7212,3800,3412,219,52.69,5.2214,388
SOL,5,100,5,2026-03,7696,4095,3601,231,53.2095,6.2319,494
SOL,5,100,5,2026-04,6893,3682,3211,366,53.4165,6.4885,471
SOL,5,100,5,2026-05,7205,3685,3520,338,51.145,2.1875,165
SOL,5,100,5,2026-06,4841,2544,2297,146,52.5511,4.9529,247
SOL,5,100,10,2025-12,2356,1251,1105,79,53.0985,5.9959,146
SOL,5,100,10,2026-01,6172,3257,2915,190,52.7706,5.3757,342
SOL,5,100,10,2026-02,6617,3491,3126,200,52.758,5.3543,365
SOL,5,100,10,2026-03,6802,3633,3169,182,53.4108,6.6438,464
SOL,5,100,10,2026-04,5721,3056,2665,289,53.4172,6.5058,391
SOL,5,100,10,2026-05,6007,3068,2939,260,51.0737,2.0584,129
SOL,5,100,10,2026-06,4399,2323,2076,128,52.8075,5.4562,247
SOL,5,100,15,2025-12,1889,1013,876,66,53.6263,7.0077,137
SOL,5,100,15,2026-01,5148,2707,2441,144,52.5835,5.0265,266
SOL,5,100,15,2026-02,5998,3180,2818,169,53.0177,5.87,362
SOL,5,100,15,2026-03,5924,3169,2755,154,53.4943,6.8115,414
SOL,5,100,15,2026-04,4703,2521,2182,226,53.6041,6.8777,339
SOL,5,100,15,2026-05,4875,2533,2342,205,51.959,3.7598,191
SOL,5,100,15,2026-06,3970,2113,1857,113,53.2242,6.2699,256
SOL,5,100,20,2025-12,1509,817,692,46,54.1418,8.0386,125
SOL,5,100,20,2026-01,4274,2253,2021,110,52.7141,5.292,232
SOL,5,100,20,2026-02,5421,2889,2532,143,53.2928,6.4162,357
SOL,5,100,20,2026-03,5137,2777,2360,125,54.0588,7.9247,417
SOL,5,100,20,2026-04,3787,2042,1745,176,53.9213,7.4943,297
SOL,5,100,20,2026-05,3939,2068,1871,148,52.5006,4.8202,197
SOL,5,100,20,2026-06,3539,1882,1657,101,53.1789,6.1813,225
SOL,5,100,25,2025-12,1227,657,570,31,53.5452,6.9157,87
SOL,5,100,25,2026-01,3513,1865,1648,84,53.0885,6.0328,217
SOL,5,100,25,2026-02,4859,2600,2259,121,53.509,6.8474,341
SOL,5,100,25,2026-03,4452,2414,2038,103,54.2228,8.2547,376
SOL,5,100,25,2026-04,3058,1677,1381,124,54.8398,9.3023,296
SOL,5,100,25,2026-05,3102,1631,1471,111,52.579,4.9798,160
SOL,5,100,25,2026-06,3182,1706,1476,87,53.6141,7.0358,230
SOL,5,100,30,2025-12,943,520,423,23,55.1432,10.0414,97
SOL,5,100,30,2026-01,2949,1574,1375,73,53.374,6.585,199
SOL,5,100,30,2026-02,4337,2331,2006,103,53.7468,7.3198,325
SOL,5,100,30,2026-03,3808,2094,1714,86,54.9895,9.7586,380
SOL,5,100,30,2026-04,2452,1345,1107,91,54.8532,9.359,238
SOL,5,100,30,2026-05,2428,1266,1162,82,52.1417,4.1434,104
SOL,5,100,30,2026-06,2798,1505,1293,78,53.7884,7.3713,212
SOL,5,100,35,2025-12,764,434,330,14,56.8063,13.3676,104
SOL,5,100,35,2026-01,2457,1326,1131,56,53.9683,7.7596,195
SOL,5,100,35,2026-02,3887,2088,1799,96,53.7175,7.2558,289
SOL,5,100,35,2026-03,3279,1793,1486,76,54.6813,9.1505,307
SOL,5,100,35,2026-04,2005,1095,910,64,54.6135,8.9415,185
SOL,5,100,35,2026-05,1954,1022,932,62,52.303,4.4643,90
SOL,5,100,35,2026-06,2467,1335,1132,62,54.1143,8.0269,203
SOL,5,100,40,2025-12,609,346,263,10,56.8144,13.4087,83
SOL,5,100,40,2026-01,2084,1108,976,48,53.167,6.1914,132
SOL,5,100,40,2026-02,3470,1875,1595,83,54.0346,7.8807,280
SOL,5,100,40,2026-03,2830,1547,1283,62,54.6643,9.1286,264
SOL,5,100,40,2026-04,1657,897,760,45,54.134,8.0494,137
SOL,5,100,40,2026-05,1597,836,761,50,52.3482,4.5537,75
SOL,5,100,40,2026-06,2152,1164,988,54,54.0892,7.9782,176
SOL,5,100,45,2025-12,488,277,211,10,56.7623,13.253,66
SOL,5,100,45,2026-01,1803,960,843,42,53.2446,6.3415,117
SOL,5,100,45,2026-02,3123,1688,1435,70,54.0506,7.9236,253
SOL,5,100,45,2026-03,2463,1357,1106,52,55.0954,9.9801,251
SOL,5,100,45,2026-04,1380,742,638,34,53.7681,7.355,104
SOL,5,100,45,2026-05,1300,678,622,39,52.1538,4.1822,56
SOL,5,100,45,2026-06,1908,1032,876,38,54.0881,8.0164,156
SOL,5,100,50,2025-12,410,234,176,7,57.0732,13.9089,58
SOL,5,100,50,2026-01,1560,825,735,39,52.8846,5.6285,90
SOL,5,100,50,2026-02,2824,1537,1287,63,54.4263,8.6595,250
SOL,5,100,50,2026-03,2146,1170,976,45,54.52,8.8544,194
SOL,5,100,50,2026-04,1144,622,522,27,54.3706,8.5397,100
SOL,5,100,50,2026-05,1067,558,509,30,52.2962,4.4667,49
SOL,5,100,50,2026-06,1689,910,779,29,53.878,7.6251,131
SOL,5,100,55,2025-12,343,192,151,7,55.9767,11.7143,41
SOL,5,100,55,2026-01,1334,702,632,28,52.6237,5.1395,70
SOL,5,100,55,2026-02,2530,1381,1149,54,54.585,8.9783,232
