asset,offset_seconds,depth,threshold_bps,catalog_equivalent_rows,entries,settled_trades,wins,losses,ties,win_rate_pct,roi_pct_at_0_50,pnl_units,break_even_entry_price,roi_pct_at_0_52,wilson_lower_win_rate_pct,z_score,avg_abs_deviation_bps,avg_signed_deviation_bps,avg_current_move_bps,trades_per_day,max_drawdown_units,longest_loss_streak,active_months,profitable_active_months,worst_month_roi_pct,best_month_roi_pct,suitability
BTC,5,100,55,2,5061,5061,2782,2279,0,54.9694,9.9387,503,0.5497,5.7103,53.5954,7.0705,90.3521,-4.904,0.1387,27.8077,18,9,7,7,2.1583,12.5792,"research_candidate"
BTC,5,100,60,2,4278,4278,2345,1933,0,54.8153,9.6307,412,0.5482,5.4141,53.3203,6.2991,96.3749,-5.4103,0.1731,23.5055,19,9,7,7,1.6667,13.5498,"research_candidate"
BTC,5,100,65,2,3642,3642,1992,1650,0,54.6952,9.3904,342,0.547,5.1831,53.0744,5.667,102.288,-6.2898,0.1659,20.011,18,9,7,6,-4,12.3013,"research_candidate"
BTC,5,100,70,2,3099,3099,1682,1417,0,54.2756,8.5511,265,0.5428,4.3761,52.5174,4.7603,108.3806,-7.4235,0.1611,17.0275,20,9,7,7,1.1765,11.4786,"research_candidate"
BTC,5,100,75,2,2690,2690,1472,1218,0,54.7212,9.4424,254,0.5472,5.2331,52.8347,4.8973,113.8511,-8.1994,0.1144,14.7802,16,9,7,6,-8.3333,11.7541,"research_candidate"
BTC,5,100,80,2,2309,2309,1274,1035,0,55.1754,10.3508,239,0.5518,6.1065,53.14,4.9738,119.8538,-7.9372,-0.1541,12.6868,22,9,7,6,-11.5385,13.9831,"research_candidate"
BTC,5,100,85,2,2004,2004,1086,918,0,54.1916,8.3832,168,0.5419,4.2146,52.0042,3.7528,125.5373,-8.1202,-0.1903,11.011,27,9,7,5,-16.2791,13.1973,"research_candidate"
BTC,5,100,90,2,1742,1742,942,800,0,54.0758,8.1515,142,0.5408,3.9919,51.7292,3.4022,131.2757,-9.3195,-0.2197,9.5714,23,9,7,5,-12.8205,12.7907,"research_candidate"
BTC,5,100,95,2,1529,1529,825,704,0,53.9568,7.9137,121,0.5396,3.7631,51.4517,3.0944,136.7076,-9.3561,0.0264,8.4011,17,9,7,5,-20,11.8421,"research_candidate"
BTC,5,100,100,2,1320,1320,701,619,0,53.1061,6.2121,82,0.5311,2.127,50.4088,2.257,142.9135,-9.4286,0.0621,7.2527,18,9,7,4,-14.2857,11.7188,"watch_only"
BTC,5,90,0,1,52416,52276,26919,25357,140,51.494,2.98,1562,0.5149,-0.9731,51.0655,6.8317,22.5122,-0.5213,-0.0515,288,96,15,7,7,1.2657,4.0972,"watch_only"
BTC,5,90,5,2,41811,41751,21670,20081,60,51.9029,3.8004,1589,0.519,-0.1866,51.4235,7.7766,27.5936,-0.6503,-0.0387,229.7308,82,15,7,7,1.5768,5.9042,"research_candidate"
BTC,5,90,10,2,32483,32458,17014,15444,25,52.4185,4.8333,1570,0.5242,0.8048,51.8749,8.7144,33.3784,-0.8957,-0.0144,178.478,58,12,7,7,3.7076,7.7443,"research_candidate"
BTC,5,90,15,2,25193,25180,13351,11829,13,53.0222,6.0414,1522,0.5302,1.9658,52.4054,9.5915,39.4587,-1.2853,0.0373,138.4231,47,12,7,7,4.3253,10.1357,"research_candidate"
BTC,5,90,20,2,19556,19547,10420,9127,9,53.3074,6.6118,1293,0.5331,2.5143,52.6074,9.2482,45.8212,-1.7555,0.0862,107.4505,40,12,7,7,4.6591,10.8,"research_candidate"
BTC,5,90,25,2,15448,15444,8291,7153,4,53.6843,7.3666,1138,0.5368,3.239,52.897,9.1572,52.0647,-2.0621,0.1875,84.8791,38,12,7,7,5.0139,16.9291,"research_candidate"
BTC,5,90,30,2,12399,12396,6738,5658,3,54.3562,8.7104,1080,0.5436,4.5312,53.4782,9.7003,58.1372,-2.4959,0.2365,68.1264,36,11,7,7,5.3448,13.4565,"research_candidate"
BTC,5,90,35,2,9897,9895,5408,4487,2,54.6539,9.3059,921,0.5465,5.1036,53.6713,9.2587,64.6463,-3.0047,0.211,54.3791,39,10,7,7,6.228,13.986,"research_candidate"
BTC,5,90,40,2,8039,8039,4413,3626,0,54.8949,9.7898,787,0.5489,5.5671,53.805,8.7776,70.9469,-3.558,0.1158,44.1703,40,10,7,7,5.7187,13.4969,"research_candidate"
BTC,5,90,45,2,6618,6618,3639,2979,0,54.9864,9.9728,660,0.5499,5.7431,53.7852,8.113,77.0702,-4.0415,0.0407,36.3626,32,9,7,7,7.8571,13.6897,"research_candidate"
BTC,5,90,50,2,5462,5462,3008,2454,0,55.0714,10.1428,554,0.5507,5.9065,53.7491,7.4961,83.3534,-4.8001,0.1418,30.011,19,9,7,7,4,11.4206,"research_candidate"
BTC,5,90,55,2,4552,4552,2503,2049,0,54.9868,9.9736,454,0.5499,5.7439,53.5379,6.7291,89.5286,-4.7616,0.197,25.011,20,9,7,7,3.1746,12.2346,"research_candidate"
BTC,5,90,60,2,3844,3844,2112,1732,0,54.9428,9.8855,380,0.5494,5.6592,53.3657,6.129,95.4387,-5.605,0.3439,21.1209,18,9,7,6,-2.8571,13.259,"research_candidate"
BTC,5,90,65,2,3252,3252,1773,1479,0,54.5203,9.0406,294,0.5452,4.8467,52.8045,5.1555,101.4593,-7.097,0.0069,17.8681,18,9,7,6,-5.4945,11.4706,"research_candidate"
BTC,5,90,70,2,2771,2771,1518,1253,0,54.7817,9.5633,265,0.5478,5.3494,52.9232,5.0342,107.3544,-7.5551,0.3215,15.2253,16,9,7,6,-2.6316,12.4579,"research_candidate"
BTC,5,90,75,2,2380,2380,1311,1069,0,55.084,10.1681,242,0.5508,5.9308,53.079,4.9605,113.0629,-7.9655,0.0472,13.0769,18,9,7,6,-8.4746,13.6929,"research_candidate"
BTC,5,90,80,2,2069,2069,1130,939,0,54.6158,9.2315,191,0.5462,5.0303,52.4639,4.1991,118.4309,-7.6973,-0.0694,11.3681,26,9,7,5,-6.6667,12.9161,"research_candidate"
BTC,5,90,85,2,1773,1773,963,810,0,54.3147,8.6294,153,0.5431,4.4514,51.9892,3.6336,124.4413,-8.1766,-0.1124,9.7418,27,9,7,5,-21.0526,14.2857,"research_candidate"
BTC,5,90,90,2,1534,1534,828,706,0,53.9765,7.9531,122,0.5398,3.801,51.4755,3.1149,130.2302,-8.6167,-0.1985,8.4286,21,10,7,5,-12.5,11.0368,"research_candidate"
BTC,5,90,95,2,1333,1333,715,618,0,53.6384,7.2768,97,0.5364,3.1508,50.9547,2.6568,135.924,-6.7784,0.0481,7.3242,13,9,7,5,-16.129,12.2137,"research_candidate"
BTC,5,90,100,2,1150,1150,620,530,0,53.913,7.8261,90,0.5391,3.6789,51.0238,2.654,142.0606,-6.2458,-0.0707,6.3187,17,9,7,5,-16.6667,13.6364,"research_candidate"
BTC,5,80,0,1,52416,52276,26932,25344,140,51.5189,3.0296,1588,0.5152,-0.9253,51.0903,6.9454,21.2235,-0.461,-0.0515,288,78,15,7,7,1.2433,3.9815,"research_candidate"
BTC,5,80,5,2,41154,41100,21365,19735,54,51.983,3.9607,1630,0.5198,-0.0328,51.4998,8.0402,26.3514,-0.5886,-0.0364,226.1209,65,15,7,7,2.1839,6.8603,"research_candidate"
BTC,5,80,10,2,31517,31493,16549,14944,24,52.5482,5.0925,1605,0.5255,1.0542,51.9964,9.0442,32.1448,-0.8237,-0.0113,173.1703,63,14,7,7,3.7459,7.6874,"research_candidate"
BTC,5,80,15,2,24002,23989,12721,11268,13,53.0285,6.0537,1453,0.5303,1.9778,52.3965,9.3812,38.3378,-1.2462,0.0582,131.8791,46,12,7,7,4.5556,8.624,"research_candidate"
BTC,5,80,20,2,18384,18377,9789,8588,7,53.2677,6.5329,1201,0.5327,2.4378,52.5457,8.8594,44.7341,-1.6699,0.1532,101.011,39,12,7,7,3.9005,10.219,"research_candidate"
BTC,5,80,25,2,14386,14381,7757,6624,5,53.9392,7.8757,1133,0.5394,3.7293,53.1236,9.4479,50.9476,-2.0261,0.2022,79.044,39,11,7,7,4.4047,15.0628,"research_candidate"
BTC,5,80,30,2,11326,11323,6147,5176,3,54.2877,8.5732,971,0.5429,4.3995,53.3689,9.1251,57.3128,-2.4409,0.1885,62.2308,40,10,7,7,5.7803,14.5401,"research_candidate"
BTC,5,80,35,2,9055,9054,4936,4118,1,54.5173,9.0337,818,0.5452,4.841,53.4899,8.5967,63.5697,-2.9686,0.195,49.7527,36,10,7,7,6.6066,16.4659,"research_candidate"
BTC,5,80,40,2,7333,7333,4003,3330,0,54.5888,9.1777,673,0.5459,4.9785,53.4471,7.8591,69.7046,-3.4769,0.0381,40.2912,29,10,7,7,6.8592,13.6054,"research_candidate"
BTC,5,80,45,2,5938,5938,3279,2659,0,55.2206,10.4412,620,0.5522,6.1935,53.9528,8.0458,76.1182,-4.2472,0.0642,32.6264,20,9,7,7,6.8323,12.3762,"research_candidate"
BTC,5,80,50,2,4862,4862,2670,2192,0,54.9157,9.8313,478,0.5492,5.6071,53.5137,6.8552,82.4804,-4.6436,0.2068,26.7143,18,9,7,7,0.7519,14.5833,"research_candidate"
BTC,5,80,55,2,4037,4037,2227,1810,0,55.1647,10.3295,417,0.5516,6.086,53.6264,6.5631,88.6245,-5.1709,0.1288,22.1813,18,9,7,6,-1.8519,12.9304,"research_candidate"
BTC,5,80,60,2,3388,3388,1861,1527,0,54.9292,9.8583,334,0.5493,5.633,53.2491,5.7382,94.5995,-5.6908,0.2038,18.6154,17,9,7,6,-1.0526,12.6761,"research_candidate"
BTC,5,80,65,2,2874,2874,1574,1300,0,54.7669,9.5338,274,0.5477,5.3209,52.942,5.111,100.3546,-7.0424,0.3329,15.7912,17,9,7,6,-2.6316,12.3288,"research_candidate"
BTC,5,80,70,2,2434,2434,1343,1091,0,55.1767,10.3533,252,0.5518,6.109,53.1943,5.1079,106.3033,-7.1598,0.1087,13.3736,21,9,7,6,-4.918,16.0243,"research_candidate"
BTC,5,80,75,2,2086,2086,1142,944,0,54.7459,9.4919,198,0.5475,5.2806,52.6031,4.3352,111.9462,-6.7474,-0.1569,11.4615,24,9,7,5,-8.6957,14.6919,"research_candidate"
BTC,5,80,80,2,1781,1781,966,815,0,54.2392,8.4784,151,0.5424,4.3061,51.9187,3.578,117.8368,-6.8142,-0.145,9.7857,24,9,7,5,-13.5135,13.0194,"research_candidate"
BTC,5,80,85,2,1520,1520,826,694,0,54.3421,8.6842,132,0.5434,4.504,51.8301,3.3857,123.896,-6.5157,0.0319,8.3516,16,9,7,6,-22.5806,11.5646,"research_candidate"
BTC,5,80,90,2,1317,1317,713,604,0,54.1382,8.2764,109,0.5414,4.1119,51.4389,3.0035,129.5158,-5.7376,-0.0655,7.2363,16,9,7,6,-17.2414,13.7255,"research_candidate"
BTC,5,80,95,2,1133,1133,610,523,0,53.8394,7.6787,87,0.5384,3.5372,50.9284,2.5847,135.5295,-6.9954,-0.3746,6.2253,16,10,7,5,-23.0769,12.8205,"research_candidate"
BTC,5,80,100,2,986,986,531,455,0,53.854,7.7079,76,0.5385,3.5653,50.7333,2.4203,141.2177,-6.7549,-0.7292,5.4176,13,9,7,4,-20,21.2121,"watch_only"
BTC,5,70,0,1,52416,52276,26915,25361,140,51.4863,2.9647,1554,0.5149,-0.9878,51.0578,6.7967,19.8564,-0.4008,-0.0515,288,90,15,7,7,1.2657,3.8194,"watch_only"
BTC,5,70,5,2,40290,40238,20966,19272,52,52.105,4.2045,1694,0.521,0.2019,51.6167,8.4449,25.081,-0.5299,-0.0344,221.3736,68,15,7,7,2.2824,6.7656,"research_candidate"
BTC,5,70,10,2,30333,30313,15960,14353,20,52.6507,5.2979,1607,0.5265,1.2513,52.0883,9.23,30.8778,-0.7947,0.0414,166.6648,63,13,7,7,3.5063,8.0514,"research_candidate"
BTC,5,70,15,2,22658,22649,12043,10606,9,53.1723,6.3421,1437,0.5317,2.2545,52.522,9.5484,37.1486,-1.1452,0.0799,124.4945,51,12,7,7,4.4741,9.5337,"research_candidate"
BTC,5,70,20,2,17257,17251,9174,8077,6,53.1795,6.3568,1097,0.5318,2.2683,52.4343,8.3522,43.3433,-1.5949,0.0663,94.8187,44,11,7,7,3.3702,10.9501,"research_candidate"
BTC,5,70,25,2,13216,13211,7153,6058,5,54.1443,8.2854,1095,0.5414,4.1236,53.2935,9.5268,49.7672,-1.9656,0.2005,72.6154,39,11,7,7,4.2636,12.2402,"research_candidate"
BTC,5,70,30,2,10294,10292,5609,4683,2,54.4986,8.9955,926,0.545,4.8051,53.5351,9.1277,56.1138,-2.4413,0.2246,56.5604,37,10,7,7,7.135,15.0685,"research_candidate"
BTC,5,70,35,2,8156,8156,4465,3691,0,54.745,9.4899,774,0.5474,5.2788,53.6627,8.5704,62.3399,-3.143,-0.0041,44.8132,30,10,7,7,5.5556,15.5556,"research_candidate"
BTC,5,70,40,2,6482,6482,3564,2918,0,54.983,9.9661,646,0.5498,5.7366,53.7693,8.0238,68.7819,-3.5255,-0.0885,35.6154,23,10,7,7,8.1761,12.6943,"research_candidate"
BTC,5,70,45,2,5210,5210,2883,2327,0,55.3359,10.6718,556,0.5534,6.4152,53.9825,7.7029,75.2245,-4.2328,0.1744,28.6264,18,9,7,7,6.2937,14.9068,"research_candidate"
BTC,5,70,50,2,4220,4220,2332,1888,0,55.2607,10.5213,444,0.5526,6.2705,53.7563,6.8348,81.7494,-4.4448,0.0899,23.1868,18,9,7,6,0,13.4844,"research_candidate"
BTC,5,70,55,2,3538,3538,1957,1581,0,55.3137,10.6275,376,0.5531,6.3726,53.6706,6.3213,87.4021,-5.1876,0.1252,19.4396,17,9,7,6,-2.1277,13.4565,"research_candidate"
BTC,5,70,60,2,2940,2940,1628,1312,0,55.3741,10.7483,316,0.5537,6.4887,53.5714,5.8279,93.5194,-6.204,0.3365,16.1538,17,9,7,6,-4.878,12.7596,"research_candidate"
BTC,5,70,65,2,2489,2489,1373,1116,0,55.1627,10.3254,257,0.5516,6.0821,53.2024,5.1513,99.1483,-6.5738,0.0923,13.6758,16,9,7,6,-6.4516,14.0562,"research_candidate"
