"asset_symbol","market_start_utc","sampled_at_utc","counter_start_market_start_utc","up_count","down_count","diff","processed_market_count"
"ETH","2026-06-08T13:55:00Z","2026-06-08T14:04:51.676Z","2026-06-08T12:55:00Z","0","0","0","0"
"SOL","2026-06-08T13:55:00Z","2026-06-08T14:04:51.676Z","2026-06-08T12:55:00Z","0","0","0","0"
"BTC","2026-06-08T14:00:00Z","2026-06-08T14:09:55.675Z","2026-06-08T14:05:00Z","0","0","0","0"
"ETH","2026-06-08T14:00:00Z","2026-06-08T14:09:55.675Z","2026-06-08T14:05:00Z","0","0","0","0"
"SOL","2026-06-08T14:00:00Z","2026-06-08T14:09:55.675Z","2026-06-08T14:05:00Z","0","0","0","0"
"BTC","2026-06-08T14:05:00Z","2026-06-08T14:14:50.997Z","2026-06-08T14:05:00Z","1","0","1","1"
"ETH","2026-06-08T14:05:00Z","2026-06-08T14:14:50.997Z","2026-06-08T14:05:00Z","1","0","1","1"
"SOL","2026-06-08T14:05:00Z","2026-06-08T14:14:50.997Z","2026-06-08T14:05:00Z","1","0","1","1"
"BTC","2026-06-08T14:10:00Z","2026-06-08T14:19:12.703Z","2026-06-08T14:05:00Z","2","0","2","2"
"ETH","2026-06-08T14:10:00Z","2026-06-08T14:19:12.703Z","2026-06-08T14:05:00Z","2","0","2","2"
"SOL","2026-06-08T14:10:00Z","2026-06-08T14:19:12.703Z","2026-06-08T14:05:00Z","2","0","2","2"
"BTC","2026-06-08T14:15:00Z","2026-06-08T14:24:58.784Z","2026-06-08T14:05:00Z","2","1","1","3"
"ETH","2026-06-08T14:15:00Z","2026-06-08T14:24:58.784Z","2026-06-08T14:05:00Z","2","1","1","3"
"SOL","2026-06-08T14:15:00Z","2026-06-08T14:24:58.784Z","2026-06-08T14:05:00Z","2","1","1","3"
"BTC","2026-06-08T14:20:00Z","2026-06-08T14:29:53.120Z","2026-06-08T14:05:00Z","2","2","0","4"
"ETH","2026-06-08T14:20:00Z","2026-06-08T14:29:53.120Z","2026-06-08T14:05:00Z","3","1","2","4"
"SOL","2026-06-08T14:20:00Z","2026-06-08T14:29:53.120Z","2026-06-08T14:05:00Z","3","1","2","4"
"BTC","2026-06-08T14:25:00Z","2026-06-08T14:34:41.562Z","2026-06-08T14:05:00Z","2","3","-1","5"
"ETH","2026-06-08T14:25:00Z","2026-06-08T14:34:41.562Z","2026-06-08T14:05:00Z","3","2","1","5"
"SOL","2026-06-08T14:25:00Z","2026-06-08T14:34:41.562Z","2026-06-08T14:05:00Z","3","2","1","5"
"BTC","2026-06-08T14:30:00Z","2026-06-08T14:39:55.585Z","2026-06-08T14:05:00Z","3","3","0","6"
"ETH","2026-06-08T14:30:00Z","2026-06-08T14:39:55.585Z","2026-06-08T14:05:00Z","4","2","2","6"
"SOL","2026-06-08T14:30:00Z","2026-06-08T14:39:55.585Z","2026-06-08T14:05:00Z","4","2","2","6"
"BTC","2026-06-08T14:35:00Z","2026-06-08T14:44:58.551Z","2026-06-08T14:05:00Z","3","4","-1","7"
"ETH","2026-06-08T14:35:00Z","2026-06-08T14:44:58.551Z","2026-06-08T14:05:00Z","4","3","1","7"
"SOL","2026-06-08T14:35:00Z","2026-06-08T14:44:58.551Z","2026-06-08T14:05:00Z","4","3","1","7"
"BTC","2026-06-08T14:40:00Z","2026-06-08T14:49:51.910Z","2026-06-08T14:05:00Z","4","4","0","8"
"ETH","2026-06-08T14:40:00Z","2026-06-08T14:49:51.910Z","2026-06-08T14:05:00Z","5","3","2","8"
"SOL","2026-06-08T14:40:00Z","2026-06-08T14:49:51.910Z","2026-06-08T14:05:00Z","4","4","0","8"
"BTC","2026-06-08T14:45:00Z","2026-06-08T14:54:50.316Z","2026-06-08T14:05:00Z","4","5","-1","9"
"ETH","2026-06-08T14:45:00Z","2026-06-08T14:54:50.316Z","2026-06-08T14:05:00Z","5","4","1","9"
"SOL","2026-06-08T14:45:00Z","2026-06-08T14:54:50.316Z","2026-06-08T14:05:00Z","5","4","1","9"
"BTC","2026-06-08T14:50:00Z","2026-06-08T14:58:53.193Z","2026-06-08T14:05:00Z","5","5","0","10"
"ETH","2026-06-08T14:50:00Z","2026-06-08T14:58:53.193Z","2026-06-08T14:05:00Z","6","4","2","10"
"SOL","2026-06-08T14:50:00Z","2026-06-08T14:58:53.193Z","2026-06-08T14:05:00Z","6","4","2","10"
