"asset_symbol","market_start_utc","sampled_at_utc","counter_start_market_start_utc","up_count","down_count","diff","processed_market_count"
"SOL","2026-06-08T08:50:00Z","2026-06-08T09:04:53.255Z","2026-06-08T07:50:00Z","5","7","-2","12"
"BTC","2026-06-08T08:55:00Z","2026-06-08T09:09:55.931Z","2026-06-08T07:50:00Z","6","7","-1","13"
"ETH","2026-06-08T08:55:00Z","2026-06-08T09:09:55.931Z","2026-06-08T07:50:00Z","4","9","-5","13"
"SOL","2026-06-08T08:55:00Z","2026-06-08T09:09:55.931Z","2026-06-08T07:50:00Z","6","7","-1","13"
"BTC","2026-06-08T09:00:00Z","2026-06-08T09:14:55.891Z","2026-06-08T07:50:00Z","7","7","0","14"
"ETH","2026-06-08T09:00:00Z","2026-06-08T09:14:55.891Z","2026-06-08T07:50:00Z","5","9","-4","14"
"SOL","2026-06-08T09:00:00Z","2026-06-08T09:14:55.891Z","2026-06-08T07:50:00Z","7","7","0","14"
"BTC","2026-06-08T09:05:00Z","2026-06-08T09:19:54.497Z","2026-06-08T07:50:00Z","7","8","-1","15"
"ETH","2026-06-08T09:05:00Z","2026-06-08T09:19:54.497Z","2026-06-08T07:50:00Z","5","10","-5","15"
"SOL","2026-06-08T09:05:00Z","2026-06-08T09:19:54.497Z","2026-06-08T07:50:00Z","7","8","-1","15"
"BTC","2026-06-08T09:10:00Z","2026-06-08T09:24:59.194Z","2026-06-08T07:50:00Z","8","8","0","16"
"ETH","2026-06-08T09:10:00Z","2026-06-08T09:24:59.194Z","2026-06-08T07:50:00Z","6","10","-4","16"
"SOL","2026-06-08T09:10:00Z","2026-06-08T09:24:59.194Z","2026-06-08T07:50:00Z","8","8","0","16"
"BTC","2026-06-08T09:15:00Z","2026-06-08T09:29:52.003Z","2026-06-08T07:50:00Z","9","8","1","17"
"ETH","2026-06-08T09:15:00Z","2026-06-08T09:29:52.003Z","2026-06-08T07:50:00Z","7","10","-3","17"
"SOL","2026-06-08T09:15:00Z","2026-06-08T09:29:52.003Z","2026-06-08T07:50:00Z","9","8","1","17"
"BTC","2026-06-08T09:20:00Z","2026-06-08T09:34:48.637Z","2026-06-08T07:50:00Z","9","9","0","18"
"ETH","2026-06-08T09:20:00Z","2026-06-08T09:34:48.637Z","2026-06-08T07:50:00Z","7","11","-4","18"
"SOL","2026-06-08T09:20:00Z","2026-06-08T09:34:48.637Z","2026-06-08T07:50:00Z","9","9","0","18"
"BTC","2026-06-08T09:25:00Z","2026-06-08T09:39:56.228Z","2026-06-08T07:50:00Z","9","10","-1","19"
"ETH","2026-06-08T09:25:00Z","2026-06-08T09:39:56.228Z","2026-06-08T07:50:00Z","7","12","-5","19"
"SOL","2026-06-08T09:25:00Z","2026-06-08T09:39:56.228Z","2026-06-08T07:50:00Z","9","10","-1","19"
"BTC","2026-06-08T09:30:00Z","2026-06-08T09:44:55.356Z","2026-06-08T07:50:00Z","9","11","-2","20"
"ETH","2026-06-08T09:30:00Z","2026-06-08T09:44:55.356Z","2026-06-08T07:50:00Z","7","13","-6","20"
"SOL","2026-06-08T09:30:00Z","2026-06-08T09:44:55.356Z","2026-06-08T07:50:00Z","9","11","-2","20"
"BTC","2026-06-08T09:35:00Z","2026-06-08T09:49:52.768Z","2026-06-08T09:45:00Z","0","0","0","0"
"ETH","2026-06-08T09:35:00Z","2026-06-08T09:49:52.768Z","2026-06-08T09:45:00Z","0","0","0","0"
