"sample_number","sample_utc","asset","market_slug","market_id","market_start_utc","market_end_utc","seconds_to_start","seconds_from_start","seconds_to_end","outcome","token_id","best_bid","best_bid_size","best_ask","best_ask_size","spread","bid_levels","ask_levels","top5_bid_size","top5_ask_size","total_bid_size","total_ask_size","book_timestamp","book_market","binance_price","start_reference_price","move_from_start_bps","error"
"1","2026-06-18T18:00:04.8463905+00:00","BTC","btc-updown-5m-1781805300","2584774","2026-06-18T17:55:00.0000000+00:00","2026-06-18T18:00:00.0000000+00:00","-304.846","304.846","-4.846","Up","100366993284555439229136263731142874057115468471011666953870421192847222766172",,,"0.01","900294.43",,"0","77","0","905990.48","0","1174316.70","1781805605186","0xa29dcb1f54b9d4e75465fcab657a4928c3952dad4b4828bcd9944e11f2b1d070","62631.60000000","62631.60000000","0",""
"1","2026-06-18T18:00:04.8463905+00:00","BTC","btc-updown-5m-1781805300","2584774","2026-06-18T17:55:00.0000000+00:00","2026-06-18T18:00:00.0000000+00:00","-304.846","304.846","-4.846","Down","30945358799682125975622752445436537816479585992099959750063279707586060979279","0.99","900277.83",,,,"77","0","905973.88","0","1174000.10","0","1781805605969","0xa29dcb1f54b9d4e75465fcab657a4928c3952dad4b4828bcd9944e11f2b1d070","62631.60000000","62631.60000000","0",""
"1","2026-06-18T18:00:04.8463905+00:00","ETH","eth-updown-5m-1781805300","2584775","2026-06-18T17:55:00.0000000+00:00","2026-06-18T18:00:00.0000000+00:00","-304.846","304.846","-4.846","Up","84464230807213236425016885238522598164473602253759355671732117397567158540848",,,"0.01","567387.5",,"0","41","0","571486.35","0","753989.60","1781805605289","0x87d522cbec7d7e644ec5485f60d464a56e7495b8797d51a2e9bb26d96d7c7f93","1679.79000000","1679.79000000","0",""
"1","2026-06-18T18:00:04.8463905+00:00","ETH","eth-updown-5m-1781805300","2584775","2026-06-18T17:55:00.0000000+00:00","2026-06-18T18:00:00.0000000+00:00","-304.846","304.846","-4.846","Down","36868621506353927085332735174569787095878720872195622300005980530115725386975","0.99","567387.5",,,,"41","0","571486.35","0","753989.60","0","1781805605289","0x87d522cbec7d7e644ec5485f60d464a56e7495b8797d51a2e9bb26d96d7c7f93","1679.79000000","1679.79000000","0",""
"1","2026-06-18T18:00:04.8463905+00:00","SOL","sol-updown-5m-1781805300","2584777","2026-06-18T17:55:00.0000000+00:00","2026-06-18T18:00:00.0000000+00:00","-304.846","304.846","-4.846","Up","43590587833960170489458633973229110190958133890499213708362021339678110080916",,,"0.01","470291.09",,"0","36","0","476407.09","0","654503.09","1781805602307","0xa2a7fbb7f3fed9031df9d75228fbf4bfddbc4e8cc4f1fb9015ee7afa5a8bfcef","68.66000000","68.66000000","0",""
"1","2026-06-18T18:00:04.8463905+00:00","SOL","sol-updown-5m-1781805300","2584777","2026-06-18T17:55:00.0000000+00:00","2026-06-18T18:00:00.0000000+00:00","-304.846","304.846","-4.846","Down","64729861947531231910320495939117410106727761033132301855694367299130238199956","0.99","470291.09",,,,"36","0","476407.09","0","654503.09","0","1781805602307","0xa2a7fbb7f3fed9031df9d75228fbf4bfddbc4e8cc4f1fb9015ee7afa5a8bfcef","68.66000000","68.66000000","0",""
"1","2026-06-18T18:00:04.8463905+00:00","SOL","sol-updown-5m-1781805600","2584847","2026-06-18T18:00:00.0000000+00:00","2026-06-18T18:05:00.0000000+00:00","-4.846","4.846","295.154","Up","92887202688210559890269037787373548518364039356424906092889842946664474809719","0.57","80","0.58","16.2","0.01","51","39","424.52","75.2","3836.64","3663.73","1781805606592","0x240208a76cd02c37591e0b118ddd74d7caed524a1b0740d840fa5956862c2e6f","68.66000000","68.66000000","0",""
"1","2026-06-18T18:00:04.8463905+00:00","SOL","sol-updown-5m-1781805600","2584847","2026-06-18T18:00:00.0000000+00:00","2026-06-18T18:05:00.0000000+00:00","-4.846","4.846","295.154","Down","42158671632333916299715271514496933316667556269910783091936524939668698929488","0.42","16.2","0.43","80","0.01","40","52","78.2","424.52","3280.73","3433.64","1781805606683","0x240208a76cd02c37591e0b118ddd74d7caed524a1b0740d840fa5956862c2e6f","68.66000000","68.66000000","0",""
"1","2026-06-18T18:00:04.8463905+00:00","ETH","eth-updown-5m-1781805600","2584849","2026-06-18T18:00:00.0000000+00:00","2026-06-18T18:05:00.0000000+00:00","-4.846","4.846","295.154","Up","54440108909645803563712017609209311553790634574167288046576126967603211899968","0.55","207.76","0.56","46.34","0.01","55","44","1039.76","852.34","9249.27","8702.83","1781805606798","0x5321af2dd99ba82f4abd95b18c702fb05268b58967ad15b3afa0fa94ceb284f1","1679.79000000","1679.79000000","0",""
"1","2026-06-18T18:00:04.8463905+00:00","ETH","eth-updown-5m-1781805600","2584849","2026-06-18T18:00:00.0000000+00:00","2026-06-18T18:05:00.0000000+00:00","-4.846","4.846","295.154","Down","110358233053529115025378425927539828974870137637838800989881295649187961418248","0.44","41.34","0.45","207.76","0.01","44","55","825.34","1160.76","8706.83","9383.27","1781805606905","0x5321af2dd99ba82f4abd95b18c702fb05268b58967ad15b3afa0fa94ceb284f1","1679.79000000","1679.79000000","0",""
