sampled_at_utc,seconds_after_start,strategy_code,outcome,action,best_ask,previous_max_best_ask,current_max_best_ask,maker_limit_price,places_order,order_sequence,reason
"2026-05-21T15:38:40.7339840+00:00",220.7339844,"btc_up_down_5m_down_maker","Down","between_slots",0.22,0.64,0.64,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:38:40.7339840+00:00",220.7339844,"btc_up_down_5m_up_maker","Up","between_slots",0.79,0.77,0.77,,"false",3,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:38:46.2073600+00:00",226.2073605,"btc_up_down_5m_down_maker","Down","between_slots",0.22,0.64,0.64,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:38:46.2073600+00:00",226.2073605,"btc_up_down_5m_up_maker","Up","between_slots",0.8,0.77,0.77,,"false",3,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:38:51.3705940+00:00",231.3705947,"btc_up_down_5m_down_maker","Down","between_slots",0.38,0.64,0.64,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:38:51.3705940+00:00",231.3705947,"btc_up_down_5m_up_maker","Up","between_slots",0.63,0.77,0.77,,"false",3,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:38:56.7401560+00:00",236.7401564,"btc_up_down_5m_down_maker","Down","between_slots",0.26,0.64,0.64,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:38:56.7401560+00:00",236.7401564,"btc_up_down_5m_up_maker","Up","between_slots",0.74,0.77,0.77,,"false",3,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:39:02.1191170+00:00",242.1191174,"btc_up_down_5m_down_maker","Down","no_order",0.23,0.64,0.64,,"false",2,"below_or_equal_previous_max_at_30s_slot"
"2026-05-21T15:39:02.1191170+00:00",242.1191174,"btc_up_down_5m_up_maker","Up","place_order",0.78,0.77,0.78,0.77,"true",4,"new_high_at_30s_slot"
"2026-05-21T15:39:07.2612480+00:00",247.2612487,"btc_up_down_5m_down_maker","Down","between_slots",0.18,0.64,0.64,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:39:07.2612480+00:00",247.2612487,"btc_up_down_5m_up_maker","Up","between_slots",0.83,0.78,0.78,,"false",4,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:39:12.5001520+00:00",252.5001523,"btc_up_down_5m_down_maker","Down","between_slots",0.14,0.64,0.64,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:39:12.5001520+00:00",252.5001523,"btc_up_down_5m_up_maker","Up","between_slots",0.87,0.78,0.78,,"false",4,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:39:17.7690700+00:00",257.7690702,"btc_up_down_5m_down_maker","Down","between_slots",0.08,0.64,0.64,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:39:17.7690700+00:00",257.7690702,"btc_up_down_5m_up_maker","Up","between_slots",0.93,0.78,0.78,,"false",4,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:39:23.0373260+00:00",263.0373263,"btc_up_down_5m_down_maker","Down","between_slots",0.04,0.64,0.64,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:39:23.0373260+00:00",263.0373263,"btc_up_down_5m_up_maker","Up","between_slots",0.97,0.78,0.78,,"false",4,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:39:28.2736860+00:00",268.2736862,"btc_up_down_5m_down_maker","Down","between_slots",0.04,0.64,0.64,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:39:28.2736860+00:00",268.2736862,"btc_up_down_5m_up_maker","Up","between_slots",0.98,0.78,0.78,,"false",4,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:39:33.4981970+00:00",273.4981975,"btc_up_down_5m_down_maker","Down","no_order",0.03,0.64,0.64,,"false",2,"below_or_equal_previous_max_at_30s_slot"
"2026-05-21T15:39:33.4981970+00:00",273.4981975,"btc_up_down_5m_up_maker","Up","place_order",0.98,0.78,0.98,0.97,"true",5,"new_high_at_30s_slot"
"2026-05-21T15:39:38.7395390+00:00",278.7395391,"btc_up_down_5m_down_maker","Down","between_slots",0.02,0.64,0.64,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:39:38.7395390+00:00",278.7395391,"btc_up_down_5m_up_maker","Up","between_slots",0.99,0.98,0.98,,"false",5,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:39:44.1881710+00:00",284.1881714,"btc_up_down_5m_down_maker","Down","between_slots",0.01,0.64,0.64,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:39:49.3715310+00:00",289.3715311,"btc_up_down_5m_down_maker","Down","between_slots",0.01,0.64,0.64,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:39:54.5288550+00:00",294.528855,"btc_up_down_5m_down_maker","Down","between_slots",0.01,0.64,0.64,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:39:59.8855850+00:00",299.8855853,"btc_up_down_5m_down_maker","Down","between_slots",0.01,0.64,0.64,,"false",2,"waiting_for_next_30s_slot_no_max_update"
