sampled_at_utc,seconds_after_start,strategy_code,outcome,action,best_ask,previous_max_best_ask,current_max_best_ask,maker_limit_price,places_order,order_sequence,reason
"2026-05-21T14:20:02.8589750+00:00",2.8589759,"btc_up_down_5m_down_maker","Down","baseline",0.48,,0.48,,"false",0,"baseline"
"2026-05-21T14:20:02.8589750+00:00",2.8589759,"btc_up_down_5m_up_maker","Up","baseline",0.53,,0.53,,"false",0,"baseline"
"2026-05-21T14:20:08.3366030+00:00",8.3366039,"btc_up_down_5m_down_maker","Down","before_first_slot",0.66,0.48,0.48,,"false",0,"before_first_30s_slot_no_max_update"
"2026-05-21T14:20:08.3366030+00:00",8.3366039,"btc_up_down_5m_up_maker","Up","before_first_slot",0.35,0.53,0.53,,"false",0,"before_first_30s_slot_no_max_update"
"2026-05-21T14:20:13.7445940+00:00",13.744594,"btc_up_down_5m_down_maker","Down","before_first_slot",0.64,0.48,0.48,,"false",0,"before_first_30s_slot_no_max_update"
"2026-05-21T14:20:13.7445940+00:00",13.744594,"btc_up_down_5m_up_maker","Up","before_first_slot",0.37,0.53,0.53,,"false",0,"before_first_30s_slot_no_max_update"
"2026-05-21T14:20:19.0390630+00:00",19.0390633,"btc_up_down_5m_down_maker","Down","before_first_slot",0.68,0.48,0.48,,"false",0,"before_first_30s_slot_no_max_update"
"2026-05-21T14:20:19.0390630+00:00",19.0390633,"btc_up_down_5m_up_maker","Up","before_first_slot",0.35,0.53,0.53,,"false",0,"before_first_30s_slot_no_max_update"
"2026-05-21T14:20:24.2473130+00:00",24.2473138,"btc_up_down_5m_down_maker","Down","before_first_slot",0.68,0.48,0.48,,"false",0,"before_first_30s_slot_no_max_update"
"2026-05-21T14:20:24.2473130+00:00",24.2473138,"btc_up_down_5m_up_maker","Up","before_first_slot",0.33,0.53,0.53,,"false",0,"before_first_30s_slot_no_max_update"
"2026-05-21T14:20:29.4984680+00:00",29.4984684,"btc_up_down_5m_down_maker","Down","before_first_slot",0.65,0.48,0.48,,"false",0,"before_first_30s_slot_no_max_update"
"2026-05-21T14:20:29.4984680+00:00",29.4984684,"btc_up_down_5m_up_maker","Up","before_first_slot",0.38,0.53,0.53,,"false",0,"before_first_30s_slot_no_max_update"
"2026-05-21T14:20:34.8612990+00:00",34.8612991,"btc_up_down_5m_down_maker","Down","place_order",0.64,0.48,0.64,0.63,"true",1,"new_high_at_30s_slot"
"2026-05-21T14:20:34.8612990+00:00",34.8612991,"btc_up_down_5m_up_maker","Up","no_order",0.37,0.53,0.53,,"false",0,"below_or_equal_previous_max_at_30s_slot"
"2026-05-21T14:20:40.1577820+00:00",40.1577821,"btc_up_down_5m_down_maker","Down","between_slots",0.64,0.64,0.64,,"false",1,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T14:20:40.1577820+00:00",40.1577821,"btc_up_down_5m_up_maker","Up","between_slots",0.37,0.53,0.53,,"false",0,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T14:20:45.5515920+00:00",45.5515921,"btc_up_down_5m_down_maker","Down","between_slots",0.7,0.64,0.64,,"false",1,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T14:20:45.5515920+00:00",45.5515921,"btc_up_down_5m_up_maker","Up","between_slots",0.31,0.53,0.53,,"false",0,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T14:20:50.8676950+00:00",50.8676954,"btc_up_down_5m_down_maker","Down","between_slots",0.73,0.64,0.64,,"false",1,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T14:20:50.8676950+00:00",50.8676954,"btc_up_down_5m_up_maker","Up","between_slots",0.28,0.53,0.53,,"false",0,"waiting_for_next_30s_slot_no_max_update"
