sampled_at_utc,seconds_after_start,seconds_to_close,binance_price_usd,btc_move_from_start_bps,up_best_bid,up_best_ask,up_mid,up_price_proxy,up_book_source,up_book_age_ms,down_best_bid,down_best_ask,down_mid,down_price_proxy,down_book_source,down_book_age_ms
"2026-05-21T13:15:00.5441600+00:00",0.54416,299.45584,77262,0,0.49,0.5,0.495,0.495,"clob_rest",137.6045,0.5,0.51,0.505,0.505,"clob_rest",121.4921
"2026-05-21T13:15:06.2416150+00:00",6.2416154,293.7583846,77250,-1.55315679,0.44,0.46,0.45,0.45,"websocket_cache",1814.3027,0.54,0.56,0.55,0.55,"websocket_cache",1744.6704
"2026-05-21T13:15:11.6444490+00:00",11.6444498,288.3555502,77241.63,-2.63648365,0.41,0.42,0.415,0.415,"websocket_cache",188.3976,0.58,0.59,0.585,0.585,"websocket_cache",93.6018
"2026-05-21T13:15:16.9648020+00:00",16.9648021,283.0351979,77241.63,-2.63648365,0.37,0.38,0.375,0.375,"websocket_cache",1404.0464,0.62,0.63,0.625,0.625,"websocket_cache",1294.0657
"2026-05-21T13:15:22.4541180+00:00",22.4541186,277.5458814,77223.71,-4.95586446,0.24,0.25,0.245,0.245,"websocket_cache",762.8111,0.75,0.76,0.755,0.755,"websocket_cache",640.1208
"2026-05-21T13:15:27.8288880+00:00",27.8288881,272.1711119,77218.01,-5.69361394,0.24,0.25,0.245,0.245,"websocket_cache",1620.3853,0.75,0.76,0.755,0.755,"websocket_cache",1468.9885
"2026-05-21T13:15:33.2256550+00:00",33.2256551,266.7743449,77216.01,-5.9524734,0.21,0.23,0.22,0.22,"websocket_cache",777.971,0.77,0.79,0.78,0.78,"websocket_cache",706.9499
"2026-05-21T13:15:38.5856240+00:00",38.5856249,261.4143751,77212.42,-6.41712614,0.21,0.25,0.23,0.23,"websocket_cache",79.0923,0.75,0.76,0.755,0.755,"websocket_cache",5.1836
"2026-05-21T13:15:44.3507070+00:00",44.3507075,255.6492925,77212.43,-6.41583184,0.2,0.21,0.205,0.205,"websocket_cache",534.1117,0.79,0.8,0.795,0.795,"websocket_cache",417.2354
"2026-05-21T13:15:49.6623650+00:00",49.6623652,250.3376348,77212.42,-6.41712614,0.19,0.21,0.2,0.2,"websocket_cache",1432.7517,0.8,0.81,0.805,0.805,"websocket_cache",1257.1929
"2026-05-21T13:15:54.9030320+00:00",54.9030324,245.0969676,77202.15,-7.7463695,0.17,0.19,0.18,0.18,"websocket_cache",805.4317,0.81,0.84,0.825,0.825,"websocket_cache",717.2277
"2026-05-21T13:16:00.8973700+00:00",60.8973705,239.1026295,77221.26,-5.27296731,0.16,0.18,0.17,0.17,"websocket_cache",2044.5595,0.82,0.84,0.83,0.83,"websocket_cache",1959.564
"2026-05-21T13:16:06.3738590+00:00",66.373859,233.626141,77235.5,-3.42988791,0.26,0.32,0.29,0.29,"websocket_cache",525.8885,0.68,0.73,0.705,0.705,"websocket_cache",393.6866
"2026-05-21T13:16:11.9794890+00:00",71.9794893,228.0205107,77237.82,-3.12961093,0.33,0.35,0.34,0.34,"websocket_cache",1699.2167,0.65,0.67,0.66,0.66,"websocket_cache",1569.6356
"2026-05-21T13:16:17.2469050+00:00",77.2469058,222.7530942,77237.83,-3.12831664,0.39,0.4,0.395,0.395,"websocket_cache",157.7822,0.6,0.61,0.605,0.605,"websocket_cache",91.1604
"2026-05-21T13:16:22.5441040+00:00",82.5441042,217.4558958,77237.83,-3.12831664,0.38,0.39,0.385,0.385,"websocket_cache",1379.1459,0.61,0.62,0.615,0.615,"websocket_cache",1300.2361
"2026-05-21T13:16:27.7640490+00:00",87.7640491,212.2359509,77244.79,-2.2274857,0.38,0.39,0.385,0.385,"websocket_cache",2453.1125,0.61,0.62,0.615,0.615,"websocket_cache",2363.2857
"2026-05-21T13:16:33.3743840+00:00",93.374384,206.625616,77257.07,-0.63808858,0.41,0.42,0.415,0.415,"websocket_cache",1246.4389,0.58,0.59,0.585,0.585,"websocket_cache",1149.6867
