sampled_at_utc,seconds_after_start,seconds_to_close,binance_price_usd,btc_move_from_start_bps,up_best_bid,up_best_ask,up_mid,up_price_proxy,up_book_source,up_book_age_ms,down_best_bid,down_best_ask,down_mid,down_price_proxy,down_book_source,down_book_age_ms
"2026-05-21T14:20:02.8589750+00:00",2.8589759,297.1410241,76860.23,0,0.52,0.53,0.525,0.525,"websocket_cache",1721.6775,0.47,0.48,0.475,0.475,"websocket_cache",1633.7496
"2026-05-21T14:20:08.3366030+00:00",8.3366039,291.6633961,76862,0.23028815,0.34,0.35,0.345,0.345,"websocket_cache",115.3023,0.65,0.66,0.655,0.655,"websocket_cache",2196.5113
"2026-05-21T14:20:13.7445940+00:00",13.744594,286.255406,76854.01,-0.80926117,0.36,0.37,0.365,0.365,"websocket_cache",363.4122,0.63,0.64,0.635,0.635,"websocket_cache",294.2915
"2026-05-21T14:20:19.0390630+00:00",19.0390633,280.9609367,76854.01,-0.80926117,0.32,0.35,0.335,0.335,"websocket_cache",1469.8597,0.64,0.68,0.66,0.66,"websocket_cache",1316.2357
"2026-05-21T14:20:24.2473130+00:00",24.2473138,275.7526862,76854,-0.81056224,0.32,0.33,0.325,0.325,"websocket_cache",581.4879,0.67,0.68,0.675,0.675,"websocket_cache",504.123
"2026-05-21T14:20:29.4984680+00:00",29.4984684,270.5015316,76871.18,1.42466396,0.37,0.38,0.375,0.375,"websocket_cache",1491.1655,0.62,0.65,0.635,0.635,"websocket_cache",1379.4554
"2026-05-21T14:20:34.8612990+00:00",34.8612991,265.1387009,76874.02,1.79416585,0.36,0.37,0.365,0.365,"websocket_cache",881.3835,0.63,0.64,0.635,0.635,"websocket_cache",747.9007
"2026-05-21T14:20:40.1577820+00:00",40.1577821,259.8422179,76877.03,2.18578581,0.36,0.37,0.365,0.365,"websocket_cache",181.7703,0.63,0.64,0.635,0.635,"websocket_cache",103.2467
"2026-05-21T14:20:45.5515920+00:00",45.5515921,254.4484079,76862.87,0.34348063,0.3,0.31,0.305,0.305,"websocket_cache",1560.1854,0.69,0.7,0.695,0.695,"websocket_cache",1483.1369
"2026-05-21T14:20:50.8676950+00:00",50.8676954,249.1323046,76854,-0.81056224,0.27,0.28,0.275,0.275,"websocket_cache",594.266,0.72,0.73,0.725,0.725,"websocket_cache",520.198
"2026-05-21T14:20:56.1930980+00:00",56.1930981,243.8069019,76848.71,-1.49882455,0.27,0.28,0.275,0.275,"websocket_cache",1749.5876,0.72,0.73,0.725,0.725,"websocket_cache",1674.4583
"2026-05-21T14:21:01.6152340+00:00",61.6152346,238.3847654,76806.01,-7.05436349,0.22,0.23,0.225,0.225,"websocket_cache",627.7347,0.77,0.78,0.775,0.775,"websocket_cache",520.6058
"2026-05-21T14:21:07.2078630+00:00",67.2078631,232.7921369,76806.01,-7.05436349,0.2,0.22,0.21,0.21,"websocket_cache",1198.3098,0.81,0.82,0.815,0.815,"websocket_cache",1052.8572
"2026-05-21T14:21:12.6219760+00:00",72.6219764,227.3780236,76788.81,-9.29219181,0.13,0.15,0.14,0.14,"websocket_cache",33.9562,0.83,0.86,0.845,0.845,"websocket_cache",1939.6954
"2026-05-21T14:21:18.0180290+00:00",78.0180294,221.9819706,76798.39,-8.04577348,0.12,0.13,0.125,0.125,"websocket_cache",932.8924,0.86,0.88,0.87,0.87,"websocket_cache",845.1507
"2026-05-21T14:21:23.3063540+00:00",83.3063549,216.6936451,76803.68,-7.35751116,0.12,0.13,0.125,0.125,"websocket_cache",1671.6371,0.87,0.88,0.875,0.875,"websocket_cache",1593.9064
"2026-05-21T14:21:28.5246230+00:00",88.5246234,211.4753766,76803.69,-7.3562101,0.13,0.14,0.135,0.135,"websocket_cache",2358.8899,0.86,0.87,0.865,0.865,"websocket_cache",2242.3678
"2026-05-21T14:21:33.8753380+00:00",93.8753388,206.1246612,76806.01,-7.05436349,0.12,0.13,0.125,0.125,"websocket_cache",927.9044,0.87,0.88,0.875,0.875,"websocket_cache",669.978
"2026-05-21T14:21:39.1755780+00:00",99.1755787,200.8244213,76829.6,-3.98515591,0.15,0.17,0.16,0.16,"websocket_cache",1928.0971,0.83,0.85,0.84,0.84,"websocket_cache",1852.2289
"2026-05-21T14:21:44.4756180+00:00",104.4756184,195.5243816,76836.85,-3.04188525,0.18,0.19,0.185,0.185,"websocket_cache",1321.9154,0.81,0.82,0.815,0.815,"websocket_cache",1226.8905
"2026-05-21T14:21:49.8862510+00:00",109.886251,190.113749,76866,0.75071334,0.19,0.2,0.195,0.195,"websocket_cache",200.2555,0.8,0.81,0.805,0.805,"websocket_cache",122.2813
"2026-05-21T14:21:55.1077170+00:00",115.1077177,184.8922823,76866.61,0.83007818,0.27,0.28,0.275,0.275,"websocket_cache",1668.4732,0.72,0.73,0.725,0.725,"websocket_cache",1590.5314
"2026-05-21T14:22:00.6341930+00:00",120.6341935,179.3658065,76873.96,1.78635947,0.3,0.31,0.305,0.305,"websocket_cache",628.9582,0.69,0.7,0.695,0.695,"websocket_cache",560.5375
"2026-05-21T14:22:06.2799610+00:00",126.2799617,173.7200383,76873.84,1.77074672,0.3,0.31,0.305,0.305,"websocket_cache",2163.1663,0.69,0.7,0.695,0.695,"websocket_cache",2067.2841
"2026-05-21T14:22:11.7658780+00:00",131.7658783,168.2341217,76898.79,5.01689886,0.36,0.38,0.37,0.37,"websocket_cache",1116.3279,0.62,0.64,0.63,0.63,"websocket_cache",1050.7029
"2026-05-21T14:22:17.0099970+00:00",137.0099977,162.9900023,76920.01,7.7777545,0.36,0.37,0.365,0.365,"websocket_cache",1788.4317,0.63,0.64,0.635,0.635,"websocket_cache",1710.8244
"2026-05-21T14:22:22.2044150+00:00",142.2044158,157.7955842,76904.93,5.81575153,0.49,0.5,0.495,0.495,"websocket_cache",92.4386,0.5,0.51,0.505,0.505,"websocket_cache",15.2481
"2026-05-21T14:22:27.5137200+00:00",147.5137208,152.4862792,76921.93,8.0275586,0.45,0.46,0.455,0.455,"websocket_cache",1045.1437,0.54,0.55,0.545,0.545,"websocket_cache",972.2403
"2026-05-21T14:22:33.0136590+00:00",153.0136591,146.9863409,76921.94,8.02885966,0.54,0.55,0.545,0.545,"websocket_cache",1913.7648,0.45,0.48,0.465,0.465,"websocket_cache",1761.7975
"2026-05-21T14:22:38.2817810+00:00",158.281781,141.718219,76916.53,7.32498459,0.52,0.53,0.525,0.525,"websocket_cache",906.1438,0.47,0.48,0.475,0.475,"websocket_cache",825.1901
"2026-05-21T14:22:43.5808870+00:00",163.5808873,136.4191127,76900,5.17432748,0.5,0.51,0.505,0.505,"websocket_cache",2074.2681,0.49,0.5,0.495,0.495,"websocket_cache",1995.772
"2026-05-21T14:22:48.9790650+00:00",168.9790651,131.0209349,76900.01,5.17562854,0.42,0.43,0.425,0.425,"websocket_cache",692.8104,0.57,0.58,0.575,0.575,"websocket_cache",462.7345
"2026-05-21T14:22:54.2314400+00:00",174.23144,125.76856,76916.54,7.32628565,0.42,0.43,0.425,0.425,"websocket_cache",1670.5248,0.57,0.58,0.575,0.575,"websocket_cache",1600.6911
"2026-05-21T14:22:59.5329780+00:00",179.5329789,120.4670211,76921.94,8.02885966,0.49,0.5,0.495,0.495,"websocket_cache",688.0108,0.5,0.51,0.505,0.505,"websocket_cache",582.6755
"2026-05-21T14:23:04.9122790+00:00",184.9122796,115.0877204,76920.46,7.83630234,0.49,0.5,0.495,0.495,"websocket_cache",1293.0756,0.49,0.51,0.5,0.5,"websocket_cache",1205.0149
"2026-05-21T14:23:10.2072190+00:00",190.2072194,109.7927806,76920.47,7.8376034,0.5,0.51,0.505,0.505,"websocket_cache",2138.6445,0.49,0.5,0.495,0.495,"websocket_cache",1877.085
"2026-05-21T14:23:15.5576840+00:00",195.557684,104.442316,76906.01,5.95626633,0.57,0.58,0.575,0.575,"websocket_cache",1152.604,0.42,0.43,0.425,0.425,"websocket_cache",1067.6632
