sampled_at_utc,seconds_after_start,strategy_code,outcome,action,best_ask,previous_max_best_ask,current_max_best_ask,maker_limit_price,places_order,order_sequence,reason
"2026-05-21T13:15:00.5441600+00:00",0.54416,"btc_up_down_5m_down_maker","Down","baseline",0.51,,0.51,,"false",0,"baseline"
"2026-05-21T13:15:00.5441600+00:00",0.54416,"btc_up_down_5m_up_maker","Up","baseline",0.5,,0.5,,"false",0,"baseline"
"2026-05-21T13:15:06.2416150+00:00",6.2416154,"btc_up_down_5m_down_maker","Down","place_order",0.56,0.51,0.56,0.55,"true",1,"new_high"
"2026-05-21T13:15:06.2416150+00:00",6.2416154,"btc_up_down_5m_up_maker","Up","no_order",0.46,0.5,0.5,,"false",0,"below_or_equal_previous_max"
"2026-05-21T13:15:11.6444490+00:00",11.6444498,"btc_up_down_5m_down_maker","Down","place_order",0.59,0.56,0.59,0.58,"true",2,"new_high"
"2026-05-21T13:15:11.6444490+00:00",11.6444498,"btc_up_down_5m_up_maker","Up","no_order",0.42,0.5,0.5,,"false",0,"below_or_equal_previous_max"
"2026-05-21T13:15:16.9648020+00:00",16.9648021,"btc_up_down_5m_down_maker","Down","place_order",0.63,0.59,0.63,0.62,"true",3,"new_high"
"2026-05-21T13:15:16.9648020+00:00",16.9648021,"btc_up_down_5m_up_maker","Up","no_order",0.38,0.5,0.5,,"false",0,"below_or_equal_previous_max"
"2026-05-21T13:15:22.4541180+00:00",22.4541186,"btc_up_down_5m_down_maker","Down","place_order",0.76,0.63,0.76,0.75,"true",4,"new_high"
"2026-05-21T13:15:22.4541180+00:00",22.4541186,"btc_up_down_5m_up_maker","Up","no_order",0.25,0.5,0.5,,"false",0,"below_or_equal_previous_max"
"2026-05-21T13:15:27.8288880+00:00",27.8288881,"btc_up_down_5m_down_maker","Down","no_order",0.76,0.76,0.76,,"false",4,"below_or_equal_previous_max"
"2026-05-21T13:15:27.8288880+00:00",27.8288881,"btc_up_down_5m_up_maker","Up","no_order",0.25,0.5,0.5,,"false",0,"below_or_equal_previous_max"
"2026-05-21T13:15:33.2256550+00:00",33.2256551,"btc_up_down_5m_down_maker","Down","place_order",0.79,0.76,0.79,0.78,"true",5,"new_high"
"2026-05-21T13:15:33.2256550+00:00",33.2256551,"btc_up_down_5m_up_maker","Up","no_order",0.23,0.5,0.5,,"false",0,"below_or_equal_previous_max"
"2026-05-21T13:15:38.5856240+00:00",38.5856249,"btc_up_down_5m_down_maker","Down","no_order",0.76,0.79,0.79,,"false",5,"below_or_equal_previous_max"
"2026-05-21T13:15:38.5856240+00:00",38.5856249,"btc_up_down_5m_up_maker","Up","no_order",0.25,0.5,0.5,,"false",0,"below_or_equal_previous_max"
"2026-05-21T13:15:44.3507070+00:00",44.3507075,"btc_up_down_5m_down_maker","Down","place_order",0.8,0.79,0.8,0.79,"true",6,"new_high"
"2026-05-21T13:15:44.3507070+00:00",44.3507075,"btc_up_down_5m_up_maker","Up","no_order",0.21,0.5,0.5,,"false",0,"below_or_equal_previous_max"
"2026-05-21T13:15:49.6623650+00:00",49.6623652,"btc_up_down_5m_down_maker","Down","place_order",0.81,0.8,0.81,0.8,"true",7,"new_high"
"2026-05-21T13:15:49.6623650+00:00",49.6623652,"btc_up_down_5m_up_maker","Up","no_order",0.21,0.5,0.5,,"false",0,"below_or_equal_previous_max"
"2026-05-21T13:15:54.9030320+00:00",54.9030324,"btc_up_down_5m_down_maker","Down","place_order",0.84,0.81,0.84,0.83,"true",8,"new_high"
"2026-05-21T13:15:54.9030320+00:00",54.9030324,"btc_up_down_5m_up_maker","Up","no_order",0.19,0.5,0.5,,"false",0,"below_or_equal_previous_max"
"2026-05-21T13:16:00.8973700+00:00",60.8973705,"btc_up_down_5m_down_maker","Down","no_order",0.84,0.84,0.84,,"false",8,"below_or_equal_previous_max"
"2026-05-21T13:16:00.8973700+00:00",60.8973705,"btc_up_down_5m_up_maker","Up","no_order",0.18,0.5,0.5,,"false",0,"below_or_equal_previous_max"
"2026-05-21T13:16:06.3738590+00:00",66.373859,"btc_up_down_5m_down_maker","Down","no_order",0.73,0.84,0.84,,"false",8,"below_or_equal_previous_max"
"2026-05-21T13:16:06.3738590+00:00",66.373859,"btc_up_down_5m_up_maker","Up","no_order",0.32,0.5,0.5,,"false",0,"below_or_equal_previous_max"
"2026-05-21T13:16:11.9794890+00:00",71.9794893,"btc_up_down_5m_down_maker","Down","no_order",0.67,0.84,0.84,,"false",8,"below_or_equal_previous_max"
"2026-05-21T13:16:11.9794890+00:00",71.9794893,"btc_up_down_5m_up_maker","Up","no_order",0.35,0.5,0.5,,"false",0,"below_or_equal_previous_max"
"2026-05-21T13:16:17.2469050+00:00",77.2469058,"btc_up_down_5m_down_maker","Down","no_order",0.61,0.84,0.84,,"false",8,"below_or_equal_previous_max"
"2026-05-21T13:16:17.2469050+00:00",77.2469058,"btc_up_down_5m_up_maker","Up","no_order",0.4,0.5,0.5,,"false",0,"below_or_equal_previous_max"
"2026-05-21T13:16:22.5441040+00:00",82.5441042,"btc_up_down_5m_down_maker","Down","no_order",0.62,0.84,0.84,,"false",8,"below_or_equal_previous_max"
"2026-05-21T13:16:22.5441040+00:00",82.5441042,"btc_up_down_5m_up_maker","Up","no_order",0.39,0.5,0.5,,"false",0,"below_or_equal_previous_max"
"2026-05-21T13:16:27.7640490+00:00",87.7640491,"btc_up_down_5m_down_maker","Down","no_order",0.62,0.84,0.84,,"false",8,"below_or_equal_previous_max"
"2026-05-21T13:16:27.7640490+00:00",87.7640491,"btc_up_down_5m_up_maker","Up","no_order",0.39,0.5,0.5,,"false",0,"below_or_equal_previous_max"
"2026-05-21T13:16:33.3743840+00:00",93.374384,"btc_up_down_5m_down_maker","Down","no_order",0.59,0.84,0.84,,"false",8,"below_or_equal_previous_max"
"2026-05-21T13:16:33.3743840+00:00",93.374384,"btc_up_down_5m_up_maker","Up","no_order",0.42,0.5,0.5,,"false",0,"below_or_equal_previous_max"
"2026-05-21T13:16:38.6931880+00:00",98.693188,"btc_up_down_5m_down_maker","Down","no_order",0.48,0.84,0.84,,"false",8,"below_or_equal_previous_max"
"2026-05-21T13:16:38.6931880+00:00",98.693188,"btc_up_down_5m_up_maker","Up","place_order",0.53,0.5,0.53,0.52,"true",1,"new_high"
"2026-05-21T13:16:44.0781150+00:00",104.0781157,"btc_up_down_5m_down_maker","Down","no_order",0.48,0.84,0.84,,"false",8,"below_or_equal_previous_max"
"2026-05-21T13:16:44.0781150+00:00",104.0781157,"btc_up_down_5m_up_maker","Up","no_order",0.53,0.53,0.53,,"false",1,"below_or_equal_previous_max"
"2026-05-21T13:16:49.5017100+00:00",109.5017108,"btc_up_down_5m_down_maker","Down","no_order",0.48,0.84,0.84,,"false",8,"below_or_equal_previous_max"
"2026-05-21T13:16:49.5017100+00:00",109.5017108,"btc_up_down_5m_up_maker","Up","no_order",0.53,0.53,0.53,,"false",1,"below_or_equal_previous_max"
"2026-05-21T13:16:54.9357430+00:00",114.9357435,"btc_up_down_5m_down_maker","Down","no_order",0.48,0.84,0.84,,"false",8,"below_or_equal_previous_max"
"2026-05-21T13:16:54.9357430+00:00",114.9357435,"btc_up_down_5m_up_maker","Up","no_order",0.53,0.53,0.53,,"false",1,"below_or_equal_previous_max"
"2026-05-21T13:17:00.2895120+00:00",120.2895123,"btc_up_down_5m_down_maker","Down","no_order",0.48,0.84,0.84,,"false",8,"below_or_equal_previous_max"
"2026-05-21T13:17:00.2895120+00:00",120.2895123,"btc_up_down_5m_up_maker","Up","no_order",0.53,0.53,0.53,,"false",1,"below_or_equal_previous_max"
"2026-05-21T13:17:05.7001650+00:00",125.7001651,"btc_up_down_5m_down_maker","Down","no_order",0.55,0.84,0.84,,"false",8,"below_or_equal_previous_max"
"2026-05-21T13:17:05.7001650+00:00",125.7001651,"btc_up_down_5m_up_maker","Up","no_order",0.51,0.53,0.53,,"false",1,"below_or_equal_previous_max"
"2026-05-21T13:17:11.7169870+00:00",131.7169875,"btc_up_down_5m_down_maker","Down","no_order",0.54,0.84,0.84,,"false",8,"below_or_equal_previous_max"
"2026-05-21T13:17:11.7169870+00:00",131.7169875,"btc_up_down_5m_up_maker","Up","no_order",0.47,0.53,0.53,,"false",1,"below_or_equal_previous_max"
