created_utc	updated_utc	market_end_utc	status	cancel_status	response_status	outcome	winning_outcome	would_win	price	size_shares	notional_usd	hypothetical_cost_basis_usd	hypothetical_settlement_value_usd	hypothetical_realized_pnl_usd	result_source	market_slug	condition_id	asset_id	winning_asset_id	order_id	live_order_id	market_question
2026-06-16T06:20:00.1777220Z	2026-06-16T06:24:00.5035970Z	2026-06-16T06:25:00.0000000Z	Cancelled	cancelled	live	Down	Down	True	0.61	6.56	4.0016	4.0016	6.56	2.5584	crypto_up_down_5m_websocket_resolved_markets:GammaClosedMarket	eth-updown-5m-1781590800	0x44455614b2661697bccc2496b9763f7e49c94682be5581846e16f20a8b762a99	104263296170048858844141330527523203090324228449876655674517177300707772951786	104263296170048858844141330527523203090324228449876655674517177300707772951786	0xf15535614a9a1afc945f2f577ffaf570ab5a048da5c1f65db2b14c3a5f794dc5	1b16ed89-b2a8-4533-9120-cbb2fd552e89	Ethereum Up or Down - June 16, 2:20AM-2:25AM ET
2026-06-16T14:05:00.6568260Z	2026-06-16T14:09:02.7313490Z	2026-06-16T14:10:00.0000000Z	CancelFailed	order can't be found - already canceled or matched	live	Down	Down	True	0.4	7.5	3	3	7.5	4.5	crypto_up_down_5m_websocket_resolved_markets:GammaClosedMarket	eth-updown-5m-1781618700	0xa996f77dc805a09917e27859b72ddbb6bf5a6e8cefdebf03031ebbbbe81af235	95234334710921247029472670858757972781396904834287651235357793059769370470188	95234334710921247029472670858757972781396904834287651235357793059769370470188	0x70cde172c3c9c9a65aa71771b3257772d592db66c9f22849c594b9c97cbd25bd	c7696dbc-b2e2-495f-bb41-f3452b7f46a5	Ethereum Up or Down - June 16, 10:05AM-10:10AM ET
2026-06-16T16:30:06.2307500Z	2026-06-16T16:34:03.4683220Z	2026-06-16T16:35:00.0000000Z	CancelFailed	order can't be found - already canceled or matched	live	Down	Down	True	0.57	7.02	4.0014	4.0014	7.02	3.0186	crypto_up_down_5m_websocket_resolved_markets:GammaClosedMarket	eth-updown-5m-1781627400	0x450cce54e4195536ec9a58055dfbdc3a6c878348fe84c3b3ab9a8e42574dc978	112872744885548882495746446260383383359594458998277024702979622402318196529804	112872744885548882495746446260383383359594458998277024702979622402318196529804	0x9e2d47939538c2f636cea20fd6753b78ecdcd958b622104d6df227416ca65c82	b12ddb00-40d9-4cd2-9ae2-7f2ff81cd336	Ethereum Up or Down - June 16, 12:30PM-12:35PM ET
2026-06-16T17:25:03.6149680Z	2026-06-16T17:29:13.7668280Z	2026-06-16T17:30:00.0000000Z	CancelFailed	order can't be found - already canceled or matched	live	Down	Down	True	0.57	7.02	4.0014	4.0014	7.02	3.0186	crypto_up_down_5m_websocket_resolved_markets:GammaClosedMarket	eth-updown-5m-1781630700	0x3ee5bc62ce236c2114a358891770177937d266fd8df881c3d3400d51a1dc890c	89731336150637814799791307931622674798670927658845838897791231582589307398252	89731336150637814799791307931622674798670927658845838897791231582589307398252	0xa151a275d3d4580634773ce912123bd178c0fb5b599d5264608cc07914a2c5a8	891fb058-a1ad-4080-ac9d-f9623923828b	Ethereum Up or Down - June 16, 1:25PM-1:30PM ET
2026-06-16T22:15:04.4531740Z	2026-06-16T22:19:05.1352330Z	2026-06-16T22:20:00.0000000Z	CancelFailed	order can't be found - already canceled or matched	live	Down	Up	False	0.45	6.67	3.0015	3.0015	0	-3.0015	crypto_up_down_5m_websocket_resolved_markets:TerminalOrderBook	eth-updown-5m-1781648100	0x7643084a86e272fc593db0e5d0a117b603491f05b9dfce34bb982685b767dad5	3656185197985102242933265698264891635542131941339328812688886657950981043320	98401646488861545589949190160374687542115702585310559594068310534106998498066	0xd85d6c8d7274ebbcb68c381f09367799441a18f624f0e81f0b4338c28370503d	540c065c-fec7-4ac7-b7bc-348689abbbc8	Ethereum Up or Down - June 16, 6:15PM-6:20PM ET
2026-06-17T05:07:54.9262270Z	2026-06-17T05:09:03.5043520Z	2026-06-17T05:10:00.0000000Z	CancelFailed	order can't be found - already canceled or matched	live	Down	Down	True	0.97	6.19	6.0043	6.0043	6.19	0.1857	crypto_up_down_5m_websocket_resolved_markets:GammaClosedMarket	eth-updown-5m-1781672700	0xe495775453a70200cb10e35d16de84e1987efaaa38024884789eeb9a5f522d4e	43249907884520998723672939532341547189686714281586242001842830452039470313241	43249907884520998723672939532341547189686714281586242001842830452039470313241	0xb0b31609a277fa1a92a4fd0e82d5d11ab55427e7555abfaa45a4c522759ec124	d1cf0010-37f6-4e06-a9a2-fd6a5b5164c5	Ethereum Up or Down - June 17, 1:05AM-1:10AM ET
2026-06-17T09:50:13.7355740Z	2026-06-17T09:54:03.6085690Z	2026-06-17T09:55:00.0000000Z	CancelFailed	order can't be found - already canceled or matched	live	Down	Down	True	0.47	6.39	3.0033	3.0033	6.39	3.3867	crypto_up_down_5m_websocket_resolved_markets:GammaClosedMarket	eth-updown-5m-1781689800	0xde187638639bf50b215caab87945a9a37c71bdada5930dbb8e1e65348cf97025	19819685783735277151376202059227719104097903657449610970201561391637167615002	19819685783735277151376202059227719104097903657449610970201561391637167615002	0x4d7a6b87aa55edd2acb008f5e8034568baa3ea6b7fc586df1a5f199b7609ff18	667b18dd-5adc-4716-8a98-b469725a2bd4	Ethereum Up or Down - June 17, 5:50AM-5:55AM ET
2026-06-17T13:15:03.4071920Z	2026-06-17T13:19:02.5521740Z	2026-06-17T13:20:00.0000000Z	CancelFailed	order can't be found - already canceled or matched	live	Down	Down	True	0.58	6.9	4.002	4.002	6.9	2.898	crypto_up_down_5m_websocket_resolved_markets:GammaClosedMarket	eth-updown-5m-1781702100	0xeccab1c33b238443d0337eb13af13565d22f9ebbc10aff639b354f2d503ee044	67015993918087454135006777333328739377599339664444470122568778488659919891387	67015993918087454135006777333328739377599339664444470122568778488659919891387	0xfe46f316b43fa6541b4276e04571db244013088103b30d844e5d61816dd08950	a2b9abcd-2330-412a-a2dd-976dcb7fc584	Ethereum Up or Down - June 17, 9:15AM-9:20AM ET
2026-06-17T14:56:27.2226940Z	2026-06-17T14:59:02.8231710Z	2026-06-17T15:00:00.0000000Z	CancelFailed	order can't be found - already canceled or matched	live	Down	Down	True	0.75	6.67	5.0025	5.0025	6.67	1.6675	crypto_up_down_5m_websocket_resolved_markets:GammaClosedMarket	eth-updown-5m-1781708100	0xe32d561b2932ceb389b103713b8a68773a5e5d1357d019c79f87b9c2368d881e	32365366715494304738258425186090628949262315331538180842909270342329408610819	32365366715494304738258425186090628949262315331538180842909270342329408610819	0x384408b7f1c3ef00ffebc6b174fd993bab1da7e76db99c2c3cbf69f390fadb82	384cd29b-b259-4871-ae5e-4b961422cd43	Ethereum Up or Down - June 17, 10:55AM-11:00AM ET
2026-06-17T16:05:07.8155700Z	2026-06-17T16:09:01.2590480Z	2026-06-17T16:10:00.0000000Z	CancelFailed	order can't be found - already canceled or matched	live	Down	Down	True	0.44	6.82	3.0008	3.0008	6.82	3.8192	crypto_up_down_5m_websocket_resolved_markets:GammaClosedMarket	eth-updown-5m-1781712300	0xd64891ab9694ec7da650e741053c9f4dbcf17a5659d3066934ce457501a7a8b9	68366250915156304818404321076727130000987787482835580922147691579669630281786	68366250915156304818404321076727130000987787482835580922147691579669630281786	0x6a4976c4663e84fec806b9b70b60f5dbfba25092934739eeb5b84ada0c0cf27a	3c813312-af86-4020-bc86-c5a4f7c7bd89	Ethereum Up or Down - June 17, 12:05PM-12:10PM ET
