asset,strategy_name,trigger_side,target_outcome,threshold,markets_evaluated,betting_episodes,entries,settled_entries,flat_entries,wins,losses,win_rate_pct,total_stake_units,settled_stake_units,pnl_units,roi_pct,avg_stake_units,max_multiplier,above_10_multiplier_entries,max_drawdown_units,active_days,positive_days,negative_days,flat_days,first_entry_utc,last_entry_utc
"SOL","SOL Up or Down 5m 30 Diff Up Progress","Up","Down",30,52230,18,218,214,4,115,99,53.73831776,994,982,114,11.6089613,4.55963303,10,0,42,6,6,0,0,"2026-01-11T15:00:00.0000000+00:00","2026-05-06T23:30:00.0000000+00:00"
"SOL","SOL Up or Down 5m 26 Diff Down Progress","Down","Up",26,52230,51,363,357,6,189,168,52.94117647,1333,1316,104,7.90273556,3.67217631,15,13,100,12,8,3,1,"2025-12-31T23:55:00.0000000+00:00","2026-06-25T21:00:00.0000000+00:00"
"SOL","SOL Up or Down 5m 31 Diff Up Progress","Up","Down",31,52230,14,186,183,3,98,85,53.55191257,776,768,98,12.76041667,4.17204301,9,0,34,5,5,0,0,"2026-02-06T22:55:00.0000000+00:00","2026-05-06T23:25:00.0000000+00:00"
"SOL","SOL Up or Down 5m 32 Diff Up Progress","Up","Down",32,52230,9,163,161,2,85,76,52.79503106,590,585,85,14.52991453,3.6196319,8,0,27,4,4,0,0,"2026-02-25T15:40:00.0000000+00:00","2026-05-06T22:20:00.0000000+00:00"
"SOL","SOL Up or Down 5m 27 Diff Down Progress","Down","Up",27,52230,36,279,275,4,144,131,52.36363636,970,959,83,8.6548488,3.47670251,14,11,87,9,9,0,0,"2026-01-20T19:35:00.0000000+00:00","2026-06-25T20:55:00.0000000+00:00"
"SOL","SOL Up or Down 5m 33 Diff Up Progress","Up","Down",33,52230,14,140,138,2,76,62,55.07246377,427,424,76,17.9245283,3.05,7,0,21,4,4,0,0,"2026-02-25T15:45:00.0000000+00:00","2026-05-06T22:15:00.0000000+00:00"
"SOL","SOL Up or Down 5m 28 Diff Down Progress","Down","Up",28,52230,32,213,211,2,112,99,53.08056872,691,684,70,10.23391813,3.24413146,13,7,75,8,8,0,0,"2026-01-20T19:40:00.0000000+00:00","2026-06-25T15:45:00.0000000+00:00"
"SOL","SOL Up or Down 5m 34 Diff Up Progress","Up","Down",34,52230,12,113,112,1,62,50,55.35714286,287,286,62,21.67832168,2.53982301,6,0,15,4,4,0,0,"2026-02-25T15:50:00.0000000+00:00","2026-05-06T21:40:00.0000000+00:00"
"SOL","SOL Up or Down 5m 29 Diff Down Progress","Down","Up",29,52230,25,159,158,1,84,74,53.16455696,478,473,57,12.05073996,3.00628931,12,3,63,5,5,0,0,"2026-01-20T20:05:00.0000000+00:00","2026-06-04T23:25:00.0000000+00:00"
"SOL","SOL Up or Down 5m 35 Diff Up Progress","Up","Down",35,52230,14,86,86,0,50,36,58.13953488,174,174,50,28.73563218,2.02325581,5,0,10,3,3,0,0,"2026-02-25T16:05:00.0000000+00:00","2026-04-16T22:50:00.0000000+00:00"
"SOL","SOL Up or Down 5m 30 Diff Down Progress","Down","Up",30,52230,24,113,112,1,63,49,56.25,319,315,47,14.92063492,2.82300885,11,1,52,5,5,0,0,"2026-01-20T21:50:00.0000000+00:00","2026-06-04T23:20:00.0000000+00:00"
"SOL","SOL Up or Down 5m 36 Diff Up Progress","Up","Down",36,52230,18,54,54,0,36,18,66.66666667,88,88,36,40.90909091,1.62962963,4,0,6,2,2,0,0,"2026-02-25T16:20:00.0000000+00:00","2026-04-16T21:50:00.0000000+00:00"
"SOL","SOL Up or Down 5m 31 Diff Down Progress","Down","Up",31,52230,19,73,72,1,42,30,58.33333333,206,203,33,16.25615764,2.82191781,10,0,43,5,5,0,0,"2026-01-20T21:55:00.0000000+00:00","2026-06-04T22:45:00.0000000+00:00"
"SOL","SOL Up or Down 5m 32 Diff Down Progress","Down","Up",32,52230,14,42,41,1,25,16,60.97560976,133,131,21,16.03053435,3.16666667,9,0,34,4,3,0,1,"2026-01-20T22:00:00.0000000+00:00","2026-06-04T22:40:00.0000000+00:00"
"SOL","SOL Up or Down 5m 37 Diff Up Progress","Up","Down",37,52230,12,24,24,0,18,6,75,34,34,18,52.94117647,1.41666667,3,0,3,2,2,0,0,"2026-02-25T16:25:00.0000000+00:00","2026-04-16T21:35:00.0000000+00:00"
"SOL","SOL Up or Down 5m 33 Diff Down Progress","Down","Up",33,52230,6,24,23,1,13,10,56.52173913,91,90,12,13.33333333,3.79166667,8,0,26,3,2,0,1,"2026-01-20T23:55:00.0000000+00:00","2026-06-04T22:35:00.0000000+00:00"
"SOL","SOL Up or Down 5m 34 Diff Down Progress","Down","Up",34,52230,2,17,17,0,9,8,52.94117647,67,67,9,13.43283582,3.94117647,7,0,19,1,1,0,0,"2026-06-02T20:30:00.0000000+00:00","2026-06-02T23:55:00.0000000+00:00"
"SOL","SOL Up or Down 5m 35 Diff Down Progress","Down","Up",35,52230,1,15,15,0,8,7,53.33333333,50,50,8,16,3.33333333,6,0,13,1,1,0,0,"2026-06-02T22:45:00.0000000+00:00","2026-06-02T23:55:00.0000000+00:00"
"SOL","SOL Up or Down 5m 36 Diff Down Progress","Down","Up",36,52230,1,13,13,0,7,6,53.84615385,35,35,7,20,2.69230769,5,0,9,1,1,0,0,"2026-06-02T22:50:00.0000000+00:00","2026-06-02T23:50:00.0000000+00:00"
"SOL","SOL Up or Down 5m 38 Diff Up Progress","Up","Down",38,52230,4,8,8,0,6,2,75,10,10,6,60,1.25,2,0,1,2,2,0,0,"2026-02-25T21:40:00.0000000+00:00","2026-04-16T21:20:00.0000000+00:00"
"SOL","SOL Up or Down 5m 37 Diff Down Progress","Down","Up",37,52230,1,11,11,0,6,5,54.54545455,22,22,6,27.27272727,2,4,0,6,1,1,0,0,"2026-06-02T22:55:00.0000000+00:00","2026-06-02T23:45:00.0000000+00:00"
"SOL","SOL Up or Down 5m 38 Diff Down Progress","Down","Up",38,52230,3,7,7,0,5,2,71.42857143,11,11,5,45.45454545,1.57142857,3,0,3,1,1,0,0,"2026-06-02T23:00:00.0000000+00:00","2026-06-02T23:40:00.0000000+00:00"
