index,paper_run_id,event_time_utc,entered_at_utc,settled_at_utc,market_start_utc,market_slug,selected_outcome,entry_price,stake_usd,size_shares,settlement_value_usd,pnl_usd,cumulative_pnl_usd
1,6bf55321-d241-4c66-860b-e281bbe12b76,2026-07-05 01:29:50,2026-07-05 01:19:30,2026-07-05 01:29:50,2026-07-05 01:20:00,eth-updown-5m-1783214400,Up,0.54000000,6.00930000,11.12833333,11.12833333,5.11903333,5.11903333
2,581aa1e7-39d5-4a83-9af3-4050f93275d2,2026-07-05 01:44:38,2026-07-05 01:34:30,2026-07-05 01:44:38,2026-07-05 01:35:00,eth-updown-5m-1783215300,Up,0.54000000,6.00930000,11.12833333,11.12833333,5.11903333,10.23806666
3,b248e523-6552-4354-a9e9-d08a40c6cb55,2026-07-05 01:49:58,2026-07-05 01:39:30,2026-07-05 01:49:58,2026-07-05 01:40:00,eth-updown-5m-1783215600,Up,0.54277421,6.00930000,11.07145455,11.07145455,5.06215455,15.30022121
4,a85dce9f-b4d7-4874-9bf8-83a4164ce8d2,2026-07-05 02:00:16,2026-07-05 01:49:31,2026-07-05 02:00:16,2026-07-05 01:50:00,eth-updown-5m-1783216200,Up,0.52100064,6.00930002,11.53415094,11.53415094,5.52485092,20.82507213
5,749d47c6-d845-49a6-9c7c-5fd673ca4077,2026-07-05 02:20:18,2026-07-05 02:09:30,2026-07-05 02:20:18,2026-07-05 02:10:00,eth-updown-5m-1783217400,Up,0.53813734,6.00929995,11.16685185,0.00000000,-6.00929995,14.81577218
6,84599f6f-e0e1-444a-804d-e31987a22b58,2026-07-05 02:25:02,2026-07-05 02:14:30,2026-07-05 02:25:02,2026-07-05 02:15:00,eth-updown-5m-1783217700,Up,0.56000000,6.00930000,10.73089286,10.73089286,4.72159286,19.53736504
7,365ffd28-c0c2-4899-837f-436c003a4295,2026-07-05 02:32:56,2026-07-05 02:24:30,2026-07-05 02:32:56,2026-07-05 02:25:00,eth-updown-5m-1783218300,Up,0.52158083,6.00930004,11.52132075,11.52132075,5.51202071,25.04938575
8,efcca1ac-d8d9-4f7c-9a52-7d757446c6a5,2026-07-05 02:54:17,2026-07-05 02:44:30,2026-07-05 02:54:17,2026-07-05 02:45:00,eth-updown-5m-1783219500,Up,0.52000000,6.00930000,11.55634615,11.55634615,5.54704615,30.59643190
9,aff6fc5f-a9e7-444d-b784-fbdfd4410eef,2026-07-05 02:57:48,2026-07-05 02:49:30,2026-07-05 02:57:48,2026-07-05 02:50:00,eth-updown-5m-1783219800,Up,0.53580932,6.00929997,11.21537037,11.21537037,5.20607040,35.80250230
10,92af4d7b-fc44-4214-9775-72aa13e0627a,2026-07-05 14:40:00,2026-07-05 14:29:33,2026-07-05 14:40:00,2026-07-05 14:30:00,eth-updown-5m-1783261800,Down,0.52366367,5.99999904,11.45773400,11.45773400,5.45773496,41.26023726
11,fc3b42f1-8784-418b-b147-e07f074123e5,2026-07-05 17:59:46,2026-07-05 17:49:33,2026-07-05 17:59:46,2026-07-05 17:50:00,eth-updown-5m-1783273800,Down,0.52131144,5.99999805,11.50943100,11.50943100,5.50943295,46.76967021
12,0c8807b6-cc48-4fea-8f49-a45eccd24bb5,2026-07-05 18:04:55,2026-07-05 17:54:32,2026-07-05 18:04:55,2026-07-05 17:55:00,eth-updown-5m-1783274100,Down,0.50000000,6.00000000,12.00000000,0.00000000,-6.00000000,40.76967021
