asset,strategy_name,trigger_side,target_outcome,threshold,markets_evaluated,betting_episodes,entries,settled_entries,flat_entries,wins,losses,win_rate_pct,total_stake_units,settled_stake_units,pnl_units,roi_pct,avg_stake_units,max_multiplier,capped_entries,max_drawdown_units,active_days,positive_days,negative_days,flat_days,first_entry_utc,last_entry_utc
"BTC","BTC Up or Down 5m 5 Diff Up Progress","Up","Down",5,52230,776,12852,12820,32,6418,6402,50.0624025,77511,77310,190,0.24576381,6.03104575,10,3440,716,118,85,32,1,"2025-12-29T02:10:00.0000000+00:00","2026-06-28T08:25:00.0000000+00:00"
"BTC","BTC Up or Down 5m 6 Diff Up Progress","Up","Down",6,52230,719,11424,11392,32,5710,5682,50.12289326,68099,67921,169,0.24881848,5.96104692,10,3002,640,111,79,31,1,"2025-12-29T02:15:00.0000000+00:00","2026-06-28T08:25:00.0000000+00:00"
"BTC","BTC Up or Down 5m 15 Diff Down Progress","Down","Up",15,52230,316,4095,4084,11,2062,2022,50.48971596,22967,22901,165,0.72049255,5.60854701,10,902,383,63,50,12,1,"2026-01-06T08:50:00.0000000+00:00","2026-06-25T20:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 17 Diff Down Progress","Down","Up",17,52230,238,3104,3094,10,1559,1535,50.38784745,16978,16933,143,0.84450481,5.46971649,10,642,297,45,36,9,0,"2026-01-06T22:45:00.0000000+00:00","2026-06-24T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 18 Diff Down Progress","Down","Up",18,52230,206,2685,2675,10,1346,1329,50.31775701,14516,14481,141,0.97368966,5.40633147,10,538,260,40,33,7,0,"2026-01-17T07:10:00.0000000+00:00","2026-06-24T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 16 Diff Down Progress","Down","Up",16,52230,246,3563,3553,10,1777,1776,50.01407261,19774,19719,139,0.7049039,5.54981757,10,767,334,54,43,11,0,"2026-01-06T16:50:00.0000000+00:00","2026-06-24T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 19 Diff Down Progress","Down","Up",19,52230,191,2310,2300,10,1163,1137,50.56521739,12369,12344,126,1.02073882,5.35454545,10,463,249,39,32,7,0,"2026-01-17T07:15:00.0000000+00:00","2026-06-24T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 7 Diff Up Progress","Up","Down",7,52230,644,10117,10088,29,5055,5033,50.10904044,59677,59525,119,0.199916,5.89868538,10,2635,590,103,75,28,0,"2025-12-29T03:40:00.0000000+00:00","2026-06-28T08:25:00.0000000+00:00"
"BTC","BTC Up or Down 5m 20 Diff Down Progress","Down","Up",20,52230,185,1950,1944,6,993,951,51.08024691,10522,10507,105,0.99933378,5.39589744,10,396,241,36,29,7,0,"2026-01-17T07:50:00.0000000+00:00","2026-06-24T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 25 Diff Down Progress","Down","Up",25,52230,81,902,902,0,458,444,50.77605322,4804,4804,88,1.83180683,5.32594235,10,168,186,19,16,3,0,"2026-01-24T21:05:00.0000000+00:00","2026-06-24T19:20:00.0000000+00:00"
"BTC","BTC Up or Down 5m 26 Diff Down Progress","Down","Up",26,52230,63,767,767,0,386,381,50.32594524,4070,4070,78,1.91646192,5.30638853,10,145,176,18,15,3,0,"2026-01-24T21:10:00.0000000+00:00","2026-06-24T18:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 30 Diff Up Progress","Up","Down",30,52230,47,409,408,1,213,195,52.20588235,1936,1930,76,3.93782383,4.73349633,10,53,103,10,8,2,0,"2025-12-30T14:15:00.0000000+00:00","2026-06-13T21:45:00.0000000+00:00"
"BTC","BTC Up or Down 5m 29 Diff Up Progress","Up","Down",29,52230,41,491,490,1,248,242,50.6122449,2361,2354,76,3.22854715,4.80855397,10,66,109,10,8,2,0,"2025-12-30T14:00:00.0000000+00:00","2026-06-13T21:50:00.0000000+00:00"
"BTC","BTC Up or Down 5m 8 Diff Up Progress","Up","Down",8,52230,603,8922,8899,23,4469,4430,50.21912574,52195,52067,75,0.14404517,5.85014571,10,2313,583,96,72,23,1,"2025-12-29T03:45:00.0000000+00:00","2026-06-28T08:25:00.0000000+00:00"
"BTC","BTC Up or Down 5m 27 Diff Down Progress","Down","Up",27,52230,69,642,642,0,332,310,51.71339564,3448,3448,72,2.08816705,5.37071651,10,126,166,16,14,2,0,"2026-01-24T22:45:00.0000000+00:00","2026-06-24T18:50:00.0000000+00:00"
"BTC","BTC Up or Down 5m 24 Diff Down Progress","Down","Up",24,52230,72,1047,1046,1,519,527,49.61759082,5647,5646,70,1.2398158,5.39350525,10,204,198,22,18,4,0,"2026-01-24T21:00:00.0000000+00:00","2026-06-24T19:45:00.0000000+00:00"
"BTC","BTC Up or Down 5m 21 Diff Down Progress","Down","Up",21,52230,148,1630,1626,4,825,801,50.73800738,8968,8959,69,0.77017524,5.50184049,10,344,235,34,27,7,0,"2026-01-17T10:55:00.0000000+00:00","2026-06-24T23:50:00.0000000+00:00"
"BTC","BTC Up or Down 5m 28 Diff Up Progress","Up","Down",28,52230,42,568,567,1,283,284,49.91181658,2842,2834,66,2.3288638,5.00352113,10,87,141,10,8,2,0,"2025-12-30T13:55:00.0000000+00:00","2026-06-13T21:55:00.0000000+00:00"
