asset,market_id,condition_id,market_slug,market_start_utc,market_end_utc,sampled_at_utc,seconds_from_start,seconds_to_close,binance_price_usd,binance_start_price_usd,reference_move_usd,reference_move_bps,up_asset_id,up_best_bid,up_best_ask,up_mid,up_price_proxy,up_price_proxy_kind,up_book_source,up_book_age_ms,down_asset_id,down_best_bid,down_best_ask,down_mid,down_price_proxy,down_price_proxy_kind,down_book_source,down_book_age_ms,diagnostics_json
BTC,2206781,0x1f27676019a4ea8d01d13584899bd0ab021e7c365a4141763f6a6c9a2d5cb693,btc-updown-5m-1778392200,2026-05-10 08:50:00+03,2026-05-10 08:55:00+03,2026-05-10 08:50:05.067027+03,5.067,294.93297290,80747.34000000,80747.34000000,0.00000000,0.00000000,73531820480396086833257247832990675325273753849873933092456039139675969545804,0.53000000,0.54000000,0.53500000,0.53500000,mid,websocket_cache,11.72930000,15624676288604945927518532630490358266369975281638310384126281316829861587250,0.47000000,0.48000000,0.47500000,0.47500000,mid,websocket_cache,1497.56360000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2206781,0x1f27676019a4ea8d01d13584899bd0ab021e7c365a4141763f6a6c9a2d5cb693,btc-updown-5m-1778392200,2026-05-10 08:50:00+03,2026-05-10 08:55:00+03,2026-05-10 08:50:10.206598+03,10.207,289.79340110,80733.36000000,80747.34000000,-13.98000000,-1.73132638,73531820480396086833257247832990675325273753849873933092456039139675969545804,0.42000000,0.44000000,0.43000000,0.43000000,mid,websocket_cache,809.69540000,15624676288604945927518532630490358266369975281638310384126281316829861587250,0.56000000,0.57000000,0.56500000,0.56500000,mid,websocket_cache,730.19420000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2206781,0x1f27676019a4ea8d01d13584899bd0ab021e7c365a4141763f6a6c9a2d5cb693,btc-updown-5m-1778392200,2026-05-10 08:50:00+03,2026-05-10 08:55:00+03,2026-05-10 08:50:15.433051+03,15.433,284.56694900,80733.35000000,80747.34000000,-13.99000000,-1.73256481,73531820480396086833257247832990675325273753849873933092456039139675969545804,0.40000000,0.41000000,0.40500000,0.40500000,mid,websocket_cache,82.95530000,15624676288604945927518532630490358266369975281638310384126281316829861587250,0.59000000,0.60000000,0.59500000,0.59500000,mid,websocket_cache,19.39370000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2206781,0x1f27676019a4ea8d01d13584899bd0ab021e7c365a4141763f6a6c9a2d5cb693,btc-updown-5m-1778392200,2026-05-10 08:50:00+03,2026-05-10 08:55:00+03,2026-05-10 08:50:20.616918+03,20.617,279.38308160,80733.36000000,80747.34000000,-13.98000000,-1.73132638,73531820480396086833257247832990675325273753849873933092456039139675969545804,0.39000000,0.40000000,0.39500000,0.39500000,mid,websocket_cache,495.00940000,15624676288604945927518532630490358266369975281638310384126281316829861587250,0.60000000,0.61000000,0.60500000,0.60500000,mid,websocket_cache,432.30810000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2206781,0x1f27676019a4ea8d01d13584899bd0ab021e7c365a4141763f6a6c9a2d5cb693,btc-updown-5m-1778392200,2026-05-10 08:50:00+03,2026-05-10 08:55:00+03,2026-05-10 08:50:25.750738+03,25.751,274.24926150,80729.13000000,80747.34000000,-18.21000000,-2.25518265,73531820480396086833257247832990675325273753849873933092456039139675969545804,0.35000000,0.38000000,0.36500000,0.36500000,mid,websocket_cache,1185.54370000,15624676288604945927518532630490358266369975281638310384126281316829861587250,0.63000000,0.64000000,0.63500000,0.63500000,mid,websocket_cache,1105.86480000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2206781,0x1f27676019a4ea8d01d13584899bd0ab021e7c365a4141763f6a6c9a2d5cb693,btc-updown-5m-1778392200,2026-05-10 08:50:00+03,2026-05-10 08:55:00+03,2026-05-10 08:50:30.917722+03,30.918,269.08227750,80722.77000000,80747.34000000,-24.57000000,-3.04282469,73531820480396086833257247832990675325273753849873933092456039139675969545804,0.30000000,0.31000000,0.30500000,0.30500000,mid,websocket_cache,1446.13990000,15624676288604945927518532630490358266369975281638310384126281316829861587250,0.69000000,0.70000000,0.69500000,0.69500000,mid,websocket_cache,1372.74310000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2206781,0x1f27676019a4ea8d01d13584899bd0ab021e7c365a4141763f6a6c9a2d5cb693,btc-updown-5m-1778392200,2026-05-10 08:50:00+03,2026-05-10 08:55:00+03,2026-05-10 08:50:36.061995+03,36.062,263.93800470,80722.76000000,80747.34000000,-24.58000000,-3.04406312,73531820480396086833257247832990675325273753849873933092456039139675969545804,0.29000000,0.30000000,0.29500000,0.29500000,mid,websocket_cache,1112.89080000,15624676288604945927518532630490358266369975281638310384126281316829861587250,0.70000000,0.71000000,0.70500000,0.70500000,mid,websocket_cache,1030.89700000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2206781,0x1f27676019a4ea8d01d13584899bd0ab021e7c365a4141763f6a6c9a2d5cb693,btc-updown-5m-1778392200,2026-05-10 08:50:00+03,2026-05-10 08:55:00+03,2026-05-10 08:50:41.234981+03,41.235,258.76501870,80722.76000000,80747.34000000,-24.58000000,-3.04406312,73531820480396086833257247832990675325273753849873933092456039139675969545804,0.28000000,0.29000000,0.28500000,0.28500000,mid,websocket_cache,1093.76780000,15624676288604945927518532630490358266369975281638310384126281316829861587250,0.71000000,0.72000000,0.71500000,0.71500000,mid,websocket_cache,950.01640000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2206781,0x1f27676019a4ea8d01d13584899bd0ab021e7c365a4141763f6a6c9a2d5cb693,btc-updown-5m-1778392200,2026-05-10 08:50:00+03,2026-05-10 08:55:00+03,2026-05-10 08:50:46.441504+03,46.442,253.55849580,80709.78000000,80747.34000000,-37.56000000,-4.65154642,73531820480396086833257247832990675325273753849873933092456039139675969545804,0.21000000,0.22000000,0.21500000,0.21500000,mid,websocket_cache,955.69140000,15624676288604945927518532630490358266369975281638310384126281316829861587250,0.78000000,0.79000000,0.78500000,0.78500000,mid,websocket_cache,886.03370000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2206781,0x1f27676019a4ea8d01d13584899bd0ab021e7c365a4141763f6a6c9a2d5cb693,btc-updown-5m-1778392200,2026-05-10 08:50:00+03,2026-05-10 08:55:00+03,2026-05-10 08:50:51.702206+03,51.702,248.29779310,80709.78000000,80747.34000000,-37.56000000,-4.65154642,73531820480396086833257247832990675325273753849873933092456039139675969545804,0.17000000,0.18000000,0.17500000,0.17500000,mid,websocket_cache,808.50380000,15624676288604945927518532630490358266369975281638310384126281316829861587250,0.82000000,0.83000000,0.82500000,0.82500000,mid,websocket_cache,743.00370000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
