index,market_start_utc,entered_at_utc,settled_at_utc,market_slug,outcome,stake_usd,pnl_usd,cumulative_pnl_usd,status,run_id
1,2026-07-04 11:50:00,2026-07-04 11:50:04,2026-07-04 12:00:24,"btc-updown-5m-1783165800","Up",6.00930000,4.91670000,4.91670000,"Settled",3210e05a-3d0b-48ea-8676-e63d14609e2e
2,2026-07-04 12:00:00,2026-07-04 12:00:03,2026-07-04 12:10:05,"btc-updown-5m-1783166400","Up",6.00930000,5.77364118,10.69034118,"Settled",806bac29-427b-4ed6-b54d-156840c25b3b
3,2026-07-04 13:40:00,2026-07-04 13:40:04,2026-07-04 13:48:39,"btc-updown-5m-1783172400","Up",6.00930000,5.54704615,16.23738733,"Settled",22599a79-a55d-4561-a1f4-861e7b26177e
4,2026-07-04 13:45:00,2026-07-04 13:45:05,2026-07-04 13:51:55,"btc-updown-5m-1783172700","Up",11.00880000,-11.00880000,5.22858733,"Settled",5d17d01a-bfdb-4b88-bd09-28cb0b2a42c3
5,2026-07-04 13:50:00,2026-07-04 13:50:05,2026-07-04 14:00:39,"btc-updown-5m-1783173000","Up",17.00820000,-17.00820000,-11.77961267,"Settled",580a7711-9662-452b-a73e-ecedffc3729e
6,2026-07-04 13:55:00,2026-07-04 13:55:03,2026-07-04 14:04:08,"btc-updown-5m-1783173300","Up",22.00770000,20.31480000,8.53518733,"Settled",cd2bc729-0838-44c2-b1aa-6b371b2ef909
7,2026-07-04 14:00:00,2026-07-04 14:00:02,2026-07-04 14:10:11,"btc-updown-5m-1783173600","Up",17.00820000,16.34121176,24.87639909,"Settled",d3244e4a-1468-4112-9eb5-c5d1690ec539
8,2026-07-04 14:05:00,2026-07-04 14:05:05,2026-07-04 14:13:27,"btc-updown-5m-1783173900","Up",11.00880000,-11.00880000,13.86759909,"Settled",379e49dc-d862-4f40-8eb0-81f440b3a7c7
9,2026-07-04 14:10:00,2026-07-04 14:10:04,2026-07-04 14:17:43,"btc-updown-5m-1783174200","Up",17.00820000,17.00820000,30.87579909,"Settled",9f316a9e-5e5b-42eb-ad91-4fcd66665081
10,2026-07-04 14:15:00,2026-07-04 14:15:04,2026-07-04 14:22:17,"btc-updown-5m-1783174500","Up",11.00880000,11.00880000,41.88459909,"Settled",3a394614-0e41-4096-a57f-55feb401757e
11,2026-07-04 14:20:00,2026-07-04 14:20:04,2026-07-04 14:27:59,"btc-updown-5m-1783174800","Up",6.00930000,2.69983043,44.58442952,"Settled",73db902c-ea4f-4caf-b92d-f131f58142a4
12,2026-07-04 14:30:00,2026-07-04 14:30:02,2026-07-04 14:40:08,"btc-updown-5m-1783175400","Up",6.00930000,-6.00930000,38.57512952,"Settled",1db66513-89b7-4cd4-a9ed-2d0b7de896d7
13,2026-07-04 14:35:00,2026-07-04 14:35:04,2026-07-04 14:45:05,"btc-updown-5m-1783175700","Up",11.00880000,11.92620000,50.50132952,"Settled",e03715e9-062a-4f40-ae06-dc6d1cd04416
14,2026-07-04 14:40:00,2026-07-04 14:40:04,2026-07-04 14:49:56,"btc-updown-5m-1783176000","Up",6.00930000,3.84201148,54.34334100,"Settled",6178b5f5-3613-46f5-91f9-6abf38c778c8
15,2026-07-04 14:50:00,2026-07-04 14:50:04,2026-07-04 15:00:24,"btc-updown-5m-1783176600","Up",6.00930000,2.95980448,57.30314548,"Settled",7c01ef2c-b3f3-43ac-b97d-1ce8db59e6db
16,2026-07-04 14:55:00,2026-07-04 14:55:03,2026-07-04 15:04:42,"btc-updown-5m-1783176900","Up",11.00880000,11.00880000,68.31194548,"Settled",588a5137-3cb8-41a2-aad5-d10405415af3
17,2026-07-04 15:00:00,2026-07-04 15:00:04,2026-07-04 15:10:41,"btc-updown-5m-1783177200","Up",6.00930000,4.17595424,72.48789972,"Settled",56b7dc39-90d2-40ae-a59b-2cd5c99b6b71
18,2026-07-04 15:20:00,2026-07-04 15:20:04,2026-07-04 15:30:03,"btc-updown-5m-1783178400","Up",6.00930000,7.64820000,80.13609972,"Settled",820d3154-498d-4067-b919-d094775438e1
19,2026-07-07 08:10:00,2026-07-07 08:10:02,2026-07-07 08:19:49,"btc-updown-5m-1783411800","Up",6.00930000,5.32900189,85.46510161,"Settled",7d367cdb-a5eb-4de8-8554-9c9c776031c9
20,2026-07-07 08:30:00,2026-07-07 08:30:04,2026-07-07 08:39:44,"btc-updown-5m-1783413000","Up",6.00930000,-6.00930000,79.45580161,"Settled",4a77da14-9146-45e7-a47b-6bbc6c4b36b9
21,2026-07-07 08:35:00,2026-07-07 08:35:03,2026-07-07 08:44:52,"btc-updown-5m-1783413300","Up",11.00880000,9.37786667,88.83366828,"Settled",d8a3f62b-d42a-47e9-be01-4443eba646a3
22,2026-07-07 08:40:00,2026-07-07 08:40:03,2026-07-07 08:49:51,"btc-updown-5m-1783413600","Up",6.00930000,-6.00930000,82.82436828,"Settled",5b5833de-7973-4d9a-ab40-339cbffe737a
23,2026-07-07 08:50:00,2026-07-07 08:50:04,2026-07-07 08:59:48,"btc-updown-5m-1783414200","Up",6.00930000,-6.00930000,76.81506828,"Settled",7a0c8452-7018-4ef9-b5a7-4e66cf0d2950
24,2026-07-07 08:55:00,2026-07-07 08:55:04,2026-07-07 09:04:03,"btc-updown-5m-1783414500","Up",11.00880000,11.00880000,87.82386828,"Settled",ce92afec-8e75-418b-bb6e-68b6fc129fd1
25,2026-07-07 09:00:00,2026-07-07 09:00:04,2026-07-07 09:08:25,"btc-updown-5m-1783414800","Up",6.00930000,5.77364118,93.59750946,"Settled",a60ee709-4bc8-452d-904d-b4e98154643c
26,2026-07-07 09:30:00,2026-07-07 09:30:03,2026-07-07 09:38:30,"btc-updown-5m-1783416600","Up",6.00930000,6.00930000,99.60680946,"Settled",521dd670-06eb-44f9-917f-c699151d05ca
27,2026-07-07 10:50:00,2026-07-07 10:50:03,2026-07-07 10:57:13,"btc-updown-5m-1783421400","Up",6.00930000,6.77644468,106.38325414,"Settled",fa328ddb-2a79-449d-8af9-c6aedcc3f79f
28,2026-07-07 11:10:00,2026-07-07 11:10:02,2026-07-07 11:20:30,"btc-updown-5m-1783422600","Up",6.00930000,-6.00930000,100.37395414,"Settled",a7d11976-fb76-4fc8-bef8-632bb131cef5
29,2026-07-07 11:15:00,2026-07-07 11:15:03,2026-07-07 11:22:20,"btc-updown-5m-1783422900","Up",11.00880000,11.45813878,111.83209292,"Settled",8244e909-ae46-4369-92cc-ff568c981f23
30,2026-07-07 11:20:00,2026-07-07 11:20:04,2026-07-07 11:27:11,"btc-updown-5m-1783423200","Up",6.00930000,7.05439565,118.88648857,"Settled",901c3fbf-c1c5-42bd-916d-acf92d9e273e
31,2026-07-07 11:30:00,2026-07-07 11:30:02,2026-07-07 11:37:08,"btc-updown-5m-1783423800","Up",6.00930000,-6.00930000,112.87718857,"Settled",5f1e718f-58d4-4051-9e52-e1a25e4eedd0
32,2026-07-07 11:35:00,2026-07-07 11:35:02,2026-07-07 11:42:03,"btc-updown-5m-1783424100","Up",11.00880000,17.21889231,130.09608088,"Settled",41c59b35-a826-4866-ac86-13bb04149cb2
33,2026-07-07 11:40:00,2026-07-07 11:40:03,2026-07-07 11:46:45,"btc-updown-5m-1783424400","Up",6.00930000,5.11903333,135.21511421,"Settled",819f0453-9858-4183-9a1a-5b64a9911a81
34,2026-07-07 13:20:00,2026-07-07 13:20:04,2026-07-07 13:27:11,"btc-updown-5m-1783430400","Up",6.00929999,-6.00929999,129.20581422,"Settled",76553f86-2228-4add-aada-d2e93d1b25f1
35,2026-07-07 13:25:00,2026-07-07 13:25:05,2026-07-07 13:35:49,"btc-updown-5m-1783430700","Up",11.00880001,-11.00880001,118.19701421,"Settled",d8234a56-6018-4774-a31e-932f034d64a2
36,2026-07-07 13:30:00,2026-07-07 13:30:05,2026-07-07 13:39:43,"btc-updown-5m-1783431000","Up",6.00930000,5.77364118,123.97065539,"Settled",1c1f36d0-40f1-4f95-be07-163bfbd360b2
37,2026-07-07 13:40:00,2026-07-07 13:40:03,2026-07-07 13:49:38,"btc-updown-5m-1783431600","Up",6.00930000,6.25457755,130.22523294,"Settled",ca1b743f-dbe8-43c9-8c2a-6fddb296f47b
38,2026-07-07 14:00:00,2026-07-07 14:00:04,2026-07-07 14:10:36,"btc-updown-5m-1783432800","Up",6.00930000,5.54704615,135.77227909,"Settled",e847f374-ff98-48dc-a1c9-8065d80f4df4
