"asset_symbol","market_start_epoch","market_start_utc","market_start_sofia","up_count","down_count","diff","processed_market_count","service_started_at_utc","service_started_at_sofia","db_now_utc"
"BTC","1780961700","2026-06-08 23:35:00 UTC","2026-06-09 02:35","14","16","-2","30","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780962000","2026-06-08 23:40:00 UTC","2026-06-09 02:40","15","16","-1","31","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780962300","2026-06-08 23:45:00 UTC","2026-06-09 02:45","15","17","-2","32","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780962600","2026-06-08 23:50:00 UTC","2026-06-09 02:50","16","17","-1","33","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780962900","2026-06-08 23:55:00 UTC","2026-06-09 02:55","17","17","0","34","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780963200","2026-06-09 00:00:00 UTC","2026-06-09 03:00","17","18","-1","35","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780963500","2026-06-09 00:05:00 UTC","2026-06-09 03:05","17","19","-2","36","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780963800","2026-06-09 00:10:00 UTC","2026-06-09 03:10","17","20","-3","37","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780964100","2026-06-09 00:15:00 UTC","2026-06-09 03:15","17","21","-4","38","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780964400","2026-06-09 00:20:00 UTC","2026-06-09 03:20","17","22","-5","39","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780964700","2026-06-09 00:25:00 UTC","2026-06-09 03:25","17","23","-6","40","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780965000","2026-06-09 00:30:00 UTC","2026-06-09 03:30","18","23","-5","41","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780965300","2026-06-09 00:35:00 UTC","2026-06-09 03:35","18","24","-6","42","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780965600","2026-06-09 00:40:00 UTC","2026-06-09 03:40","19","24","-5","43","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780965900","2026-06-09 00:45:00 UTC","2026-06-09 03:45","19","25","-6","44","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780966200","2026-06-09 00:50:00 UTC","2026-06-09 03:50","20","25","-5","45","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780966500","2026-06-09 00:55:00 UTC","2026-06-09 03:55","21","25","-4","46","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780966800","2026-06-09 01:00:00 UTC","2026-06-09 04:00","22","25","-3","47","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780967100","2026-06-09 01:05:00 UTC","2026-06-09 04:05","23","25","-2","48","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780967400","2026-06-09 01:10:00 UTC","2026-06-09 04:10","24","25","-1","49","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780967700","2026-06-09 01:15:00 UTC","2026-06-09 04:15","25","25","0","50","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780968000","2026-06-09 01:20:00 UTC","2026-06-09 04:20","26","25","1","51","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780968300","2026-06-09 01:25:00 UTC","2026-06-09 04:25","26","26","0","52","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780968600","2026-06-09 01:30:00 UTC","2026-06-09 04:30","27","26","1","53","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780968900","2026-06-09 01:35:00 UTC","2026-06-09 04:35","27","27","0","54","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
