offset_seconds,threshold_bps,entries,settled_trades,wins,losses,ties,win_rate_pct,roi_pct,pnl_units,wilson_lower_win_rate_pct,z_score,avg_prev_move_bps,avg_current_move_bps,trades_per_day,max_drawdown_units,longest_loss_streak,active_months,profitable_active_months,worst_month_roi_pct,best_month_roi_pct,suitability
20,12,8005,7991,4267,3724,14,53.3976,6.7833,543,52.3024,6.0743,26.3781,-0.2617,43.9835,34,11,7,7,3.1935,10.6936,"research_candidate"
20,13,7329,7316,3908,3408,13,53.4172,6.8222,500,52.2726,5.8457,27.6609,-0.2295,40.2692,34,15,7,7,3.5932,10.0694,"research_candidate"
20,14,6717,6706,3597,3109,11,53.6385,7.2651,488,52.4432,5.9592,28.9525,-0.3272,36.9066,30,15,7,7,3.849,10.728,"research_candidate"
20,15,6126,6116,3278,2838,10,53.5971,7.1825,440,52.3454,5.6262,30.3496,-0.2913,33.6593,31,14,7,7,3.3038,11.007,"research_candidate"
20,16,5655,5646,3038,2608,9,53.808,7.6039,430,52.5054,5.7227,31.5877,-0.2553,31.0714,29,14,7,7,4.8276,11.5942,"research_candidate"
20,17,5147,5140,2753,2387,7,53.5603,7.1109,366,52.1947,5.105,33.0776,-0.1161,28.2802,24,14,7,7,5.0847,13.8728,"research_candidate"
20,18,4729,4722,2504,2218,7,53.0284,6.0478,286,51.603,4.162,34.4543,0.1688,25.9835,24,14,7,7,2.8974,11.1821,"research_candidate"
20,19,4358,4351,2324,2027,7,53.413,6.8151,297,51.9284,4.5026,35.8135,0.1834,23.9451,27,14,7,7,3.3058,13.3803,"research_candidate"
20,20,4015,4009,2138,1871,6,53.33,6.6501,267,51.7832,4.2169,37.207,0.4052,22.0604,24,11,7,7,1.7857,15.0794,"research_candidate"
20,21,3690,3686,1971,1715,4,53.4726,6.9377,256,51.8595,4.2166,38.6785,0.3918,20.2747,22,11,7,7,3.2258,20.1754,"research_candidate"
