asset_symbol,market_start_utc,sampled_at_utc,counter_start_market_start_utc,up_count,down_count,diff,diff_count,processed_market_count,counter_initialized,history_fetch_failed
"SOL","2026-06-09T01:05:00Z","2026-06-09T01:14:58Z","2026-06-08T21:10:00Z",21,27,-6,-238,48,true,false
"BTC","2026-06-09T01:10:00Z","2026-06-09T01:19:59Z","2026-06-08T21:10:00Z",24,25,-1,-135,49,true,false
"ETH","2026-06-09T01:10:00Z","2026-06-09T01:19:59Z","2026-06-08T21:10:00Z",22,27,-5,-99,49,true,false
"SOL","2026-06-09T01:10:00Z","2026-06-09T01:19:59Z","2026-06-08T21:10:00Z",22,27,-5,-243,49,true,false
"BTC","2026-06-09T01:15:00Z","2026-06-09T01:24:55Z","2026-06-08T21:10:00Z",25,25,0,-135,50,true,false
"ETH","2026-06-09T01:15:00Z","2026-06-09T01:24:55Z","2026-06-08T21:10:00Z",23,27,-4,-103,50,true,false
"SOL","2026-06-09T01:15:00Z","2026-06-09T01:24:55Z","2026-06-08T21:10:00Z",23,27,-4,-247,50,true,false
"BTC","2026-06-09T01:20:00Z","2026-06-09T01:29:56Z","2026-06-08T21:10:00Z",26,25,1,-134,51,true,false
"ETH","2026-06-09T01:20:00Z","2026-06-09T01:29:56Z","2026-06-08T21:10:00Z",24,27,-3,-106,51,true,false
"SOL","2026-06-09T01:20:00Z","2026-06-09T01:29:56Z","2026-06-08T21:10:00Z",24,27,-3,-250,51,true,false
"BTC","2026-06-09T01:25:00Z","2026-06-09T01:34:42Z","2026-06-08T21:10:00Z",26,26,0,-134,52,true,false
"ETH","2026-06-09T01:25:00Z","2026-06-09T01:34:42Z","2026-06-08T21:10:00Z",24,28,-4,-110,52,true,false
"SOL","2026-06-09T01:25:00Z","2026-06-09T01:34:42Z","2026-06-08T21:10:00Z",25,27,-2,-252,52,true,false
"BTC","2026-06-09T01:30:00Z","2026-06-09T01:39:42Z","2026-06-08T21:10:00Z",27,26,1,-133,53,true,false
"ETH","2026-06-09T01:30:00Z","2026-06-09T01:39:42Z","2026-06-08T21:10:00Z",25,28,-3,-113,53,true,false
"SOL","2026-06-09T01:30:00Z","2026-06-09T01:39:42Z","2026-06-08T21:10:00Z",26,27,-1,-253,53,true,false
"BTC","2026-06-09T01:35:00Z","2026-06-09T01:44:54Z","2026-06-08T21:10:00Z",27,27,0,-133,54,true,false
"ETH","2026-06-09T01:35:00Z","2026-06-09T01:44:54Z","2026-06-08T21:10:00Z",25,29,-4,-117,54,true,false
"SOL","2026-06-09T01:35:00Z","2026-06-09T01:44:54Z","2026-06-08T21:10:00Z",26,28,-2,-255,54,true,false
"BTC","2026-06-09T01:40:00Z","2026-06-09T01:49:57Z","2026-06-08T21:10:00Z",27,28,-1,-134,55,true,false
"ETH","2026-06-09T01:40:00Z","2026-06-09T01:49:57Z","2026-06-08T21:10:00Z",25,30,-5,-122,55,true,false
"SOL","2026-06-09T01:40:00Z","2026-06-09T01:49:57Z","2026-06-08T21:10:00Z",26,29,-3,-258,55,true,false
"BTC","2026-06-09T01:45:00Z","2026-06-09T01:54:58Z","2026-06-08T21:10:00Z",28,28,0,-134,56,true,false
"ETH","2026-06-09T01:45:00Z","2026-06-09T01:54:58Z","2026-06-08T21:10:00Z",25,31,-6,-128,56,true,false
"SOL","2026-06-09T01:45:00Z","2026-06-09T01:54:58Z","2026-06-08T21:10:00Z",27,29,-2,-260,56,true,false
"BTC","2026-06-09T01:50:00Z","2026-06-09T01:59:57Z","2026-06-08T21:10:00Z",29,28,1,-133,57,true,false
"ETH","2026-06-09T01:50:00Z","2026-06-09T01:59:57Z","2026-06-08T21:10:00Z",26,31,-5,-133,57,true,false
"SOL","2026-06-09T01:50:00Z","2026-06-09T01:59:57Z","2026-06-08T21:10:00Z",28,29,-1,-261,57,true,false
"BTC","2026-06-09T01:55:00Z","2026-06-09T02:04:57Z","2026-06-08T21:10:00Z",29,29,0,-133,58,true,false
"ETH","2026-06-09T01:55:00Z","2026-06-09T02:04:57Z","2026-06-08T21:10:00Z",27,31,-4,-137,58,true,false
"SOL","2026-06-09T01:55:00Z","2026-06-09T02:04:57Z","2026-06-08T21:10:00Z",29,29,0,-261,58,true,false
"BTC","2026-06-09T02:00:00Z","2026-06-09T02:09:56Z","2026-06-08T21:10:00Z",30,29,1,-132,59,true,false
"ETH","2026-06-09T02:00:00Z","2026-06-09T02:09:56Z","2026-06-08T21:10:00Z",28,31,-3,-140,59,true,false
"SOL","2026-06-09T02:00:00Z","2026-06-09T02:09:56Z","2026-06-08T21:10:00Z",30,29,1,-260,59,true,false
"BTC","2026-06-09T02:05:00Z","2026-06-09T02:14:57Z","2026-06-08T21:10:00Z",30,30,0,-132,60,true,false
"ETH","2026-06-09T02:05:00Z","2026-06-09T02:14:57Z","2026-06-08T21:10:00Z",29,31,-2,-142,60,true,false
"SOL","2026-06-09T02:05:00Z","2026-06-09T02:14:57Z","2026-06-08T21:10:00Z",31,29,2,-258,60,true,false
"BTC","2026-06-09T02:10:00Z","2026-06-09T02:19:56Z","2026-06-08T21:10:00Z",30,31,-1,-133,61,true,false
"ETH","2026-06-09T02:10:00Z","2026-06-09T02:19:56Z","2026-06-08T21:10:00Z",29,32,-3,-145,61,true,false
"SOL","2026-06-09T02:10:00Z","2026-06-09T02:19:56Z","2026-06-08T21:10:00Z",31,30,1,-257,61,true,false
"BTC","2026-06-09T02:15:00Z","2026-06-09T02:24:57Z","2026-06-08T21:10:00Z",30,32,-2,-135,62,true,false
"ETH","2026-06-09T02:15:00Z","2026-06-09T02:24:57Z","2026-06-08T21:10:00Z",29,33,-4,-149,62,true,false
"SOL","2026-06-09T02:15:00Z","2026-06-09T02:24:57Z","2026-06-08T21:10:00Z",31,31,0,-257,62,true,false
"BTC","2026-06-09T02:20:00Z","2026-06-09T02:29:59Z","2026-06-08T21:10:00Z",31,32,-1,-136,63,true,false
"ETH","2026-06-09T02:20:00Z","2026-06-09T02:29:59Z","2026-06-08T21:10:00Z",30,33,-3,-152,63,true,false
"SOL","2026-06-09T02:20:00Z","2026-06-09T02:29:59Z","2026-06-08T21:10:00Z",32,31,1,-256,63,true,false
"BTC","2026-06-09T02:25:00Z","2026-06-09T02:34:55Z","2026-06-08T21:10:00Z",32,32,0,-136,64,true,false
"ETH","2026-06-09T02:25:00Z","2026-06-09T02:34:55Z","2026-06-08T21:10:00Z",31,33,-2,-154,64,true,false
"SOL","2026-06-09T02:25:00Z","2026-06-09T02:34:55Z","2026-06-08T21:10:00Z",33,31,2,-254,64,true,false
"BTC","2026-06-09T02:30:00Z","2026-06-09T02:39:57Z","2026-06-08T21:10:00Z",32,33,-1,-137,65,true,false
"ETH","2026-06-09T02:30:00Z","2026-06-09T02:39:57Z","2026-06-08T21:10:00Z",31,34,-3,-157,65,true,false
"SOL","2026-06-09T02:30:00Z","2026-06-09T02:39:57Z","2026-06-08T21:10:00Z",33,32,1,-253,65,true,false
"BTC","2026-06-09T02:35:00Z","2026-06-09T02:44:56Z","2026-06-08T21:10:00Z",32,34,-2,-139,66,true,false
"ETH","2026-06-09T02:35:00Z","2026-06-09T02:44:56Z","2026-06-08T21:10:00Z",31,35,-4,-161,66,true,false
"SOL","2026-06-09T02:35:00Z","2026-06-09T02:44:56Z","2026-06-08T21:10:00Z",33,33,0,-253,66,true,false
"BTC","2026-06-09T02:40:00Z","2026-06-09T02:49:53Z","2026-06-08T21:10:00Z",33,34,-1,-140,67,true,false
"ETH","2026-06-09T02:40:00Z","2026-06-09T02:49:53Z","2026-06-08T21:10:00Z",32,35,-3,-164,67,true,false
"SOL","2026-06-09T02:40:00Z","2026-06-09T02:49:53Z","2026-06-08T21:10:00Z",34,33,1,-252,67,true,false
"BTC","2026-06-09T02:45:00Z","2026-06-09T02:54:59Z","2026-06-08T21:10:00Z",34,34,0,-140,68,true,false
"ETH","2026-06-09T02:45:00Z","2026-06-09T02:54:59Z","2026-06-08T21:10:00Z",33,35,-2,-166,68,true,false
"SOL","2026-06-09T02:45:00Z","2026-06-09T02:54:59Z","2026-06-08T21:10:00Z",35,33,2,-250,68,true,false
"BTC","2026-06-09T02:50:00Z","2026-06-09T02:59:59Z","2026-06-08T21:10:00Z",35,34,1,-139,69,true,false
"ETH","2026-06-09T02:50:00Z","2026-06-09T02:59:59Z","2026-06-08T21:10:00Z",34,35,-1,-167,69,true,false
"SOL","2026-06-09T02:50:00Z","2026-06-09T02:59:59Z","2026-06-08T21:10:00Z",36,33,3,-247,69,true,false
"BTC","2026-06-09T02:55:00Z","2026-06-09T03:04:57Z","2026-06-08T21:10:00Z",36,34,2,-137,70,true,false
"ETH","2026-06-09T02:55:00Z","2026-06-09T03:04:57Z","2026-06-08T21:10:00Z",35,35,0,-167,70,true,false
"SOL","2026-06-09T02:55:00Z","2026-06-09T03:04:57Z","2026-06-08T21:10:00Z",37,33,4,-243,70,true,false
