asset_symbol	market_start_utc	sampled_at_utc	counter_start_market_start_utc	up_count	down_count	diff	diff_count	processed_market_count	counter_initialized	last_included_market_start_utc	high_water_market_start_utc	history_fetch_failed
BTC	2026-06-09T00:45:00Z	2026-06-09T00:54:58.268Z	2026-06-08T21:10:00Z	19	25	-6	-120	44	True	2026-06-09T00:45:00Z	2026-06-09T00:45:00Z	False
ETH	2026-06-09T00:45:00Z	2026-06-09T00:54:58.268Z	2026-06-08T21:10:00Z	19	25	-6	-72	44	True	2026-06-09T00:45:00Z	2026-06-09T00:45:00Z	False
SOL	2026-06-09T00:45:00Z	2026-06-09T00:54:58.268Z	2026-06-08T21:10:00Z	18	26	-8	-210	44	True	2026-06-09T00:45:00Z	2026-06-09T00:45:00Z	False
BTC	2026-06-09T00:50:00Z	2026-06-09T00:59:57.573Z	2026-06-08T21:10:00Z	20	25	-5	-125	45	True	2026-06-09T00:50:00Z	2026-06-09T00:50:00Z	False
ETH	2026-06-09T00:50:00Z	2026-06-09T00:59:57.573Z	2026-06-08T21:10:00Z	20	25	-5	-77	45	True	2026-06-09T00:50:00Z	2026-06-09T00:50:00Z	False
SOL	2026-06-09T00:50:00Z	2026-06-09T00:59:57.573Z	2026-06-08T21:10:00Z	19	26	-7	-217	45	True	2026-06-09T00:50:00Z	2026-06-09T00:50:00Z	False
BTC	2026-06-09T00:55:00Z	2026-06-09T01:04:59.992Z	2026-06-08T21:10:00Z	21	25	-4	-129	46	True	2026-06-09T00:55:00Z	2026-06-09T00:55:00Z	False
ETH	2026-06-09T00:55:00Z	2026-06-09T01:04:59.992Z	2026-06-08T21:10:00Z	20	26	-6	-83	46	True	2026-06-09T00:55:00Z	2026-06-09T00:55:00Z	False
SOL	2026-06-09T00:55:00Z	2026-06-09T01:04:59.992Z	2026-06-08T21:10:00Z	19	27	-8	-225	46	True	2026-06-09T00:55:00Z	2026-06-09T00:55:00Z	False
BTC	2026-06-09T01:00:00Z	2026-06-09T01:09:56.082Z	2026-06-08T21:10:00Z	22	25	-3	-132	47	True	2026-06-09T01:00:00Z	2026-06-09T01:00:00Z	False
ETH	2026-06-09T01:00:00Z	2026-06-09T01:09:56.082Z	2026-06-08T21:10:00Z	21	26	-5	-88	47	True	2026-06-09T01:00:00Z	2026-06-09T01:00:00Z	False
SOL	2026-06-09T01:00:00Z	2026-06-09T01:09:56.082Z	2026-06-08T21:10:00Z	20	27	-7	-232	47	True	2026-06-09T01:00:00Z	2026-06-09T01:00:00Z	False
BTC	2026-06-09T01:05:00Z	2026-06-09T01:14:58.924Z	2026-06-08T21:10:00Z	23	25	-2	-134	48	True	2026-06-09T01:05:00Z	2026-06-09T01:05:00Z	False
ETH	2026-06-09T01:05:00Z	2026-06-09T01:14:58.924Z	2026-06-08T21:10:00Z	21	27	-6	-94	48	True	2026-06-09T01:05:00Z	2026-06-09T01:05:00Z	False
SOL	2026-06-09T01:05:00Z	2026-06-09T01:14:58.924Z	2026-06-08T21:10:00Z	21	27	-6	-238	48	True	2026-06-09T01:05:00Z	2026-06-09T01:05:00Z	False
BTC	2026-06-09T01:10:00Z	2026-06-09T01:19:59.669Z	2026-06-08T21:10:00Z	24	25	-1	-135	49	True	2026-06-09T01:10:00Z	2026-06-09T01:10:00Z	False
ETH	2026-06-09T01:10:00Z	2026-06-09T01:19:59.669Z	2026-06-08T21:10:00Z	22	27	-5	-99	49	True	2026-06-09T01:10:00Z	2026-06-09T01:10:00Z	False
SOL	2026-06-09T01:10:00Z	2026-06-09T01:19:59.669Z	2026-06-08T21:10:00Z	22	27	-5	-243	49	True	2026-06-09T01:10:00Z	2026-06-09T01:10:00Z	False
BTC	2026-06-09T01:15:00Z	2026-06-09T01:24:55.873Z	2026-06-08T21:10:00Z	25	25	0	-135	50	True	2026-06-09T01:15:00Z	2026-06-09T01:15:00Z	False
ETH	2026-06-09T01:15:00Z	2026-06-09T01:24:55.873Z	2026-06-08T21:10:00Z	23	27	-4	-103	50	True	2026-06-09T01:15:00Z	2026-06-09T01:15:00Z	False
SOL	2026-06-09T01:15:00Z	2026-06-09T01:24:55.873Z	2026-06-08T21:10:00Z	23	27	-4	-247	50	True	2026-06-09T01:15:00Z	2026-06-09T01:15:00Z	False
BTC	2026-06-09T01:20:00Z	2026-06-09T01:29:56.986Z	2026-06-08T21:10:00Z	26	25	1	-134	51	True	2026-06-09T01:20:00Z	2026-06-09T01:20:00Z	False
ETH	2026-06-09T01:20:00Z	2026-06-09T01:29:56.986Z	2026-06-08T21:10:00Z	24	27	-3	-106	51	True	2026-06-09T01:20:00Z	2026-06-09T01:20:00Z	False
SOL	2026-06-09T01:20:00Z	2026-06-09T01:29:56.986Z	2026-06-08T21:10:00Z	24	27	-3	-250	51	True	2026-06-09T01:20:00Z	2026-06-09T01:20:00Z	False
BTC	2026-06-09T01:25:00Z	2026-06-09T01:34:42.387Z	2026-06-08T21:10:00Z	26	26	0	-134	52	True	2026-06-09T01:25:00Z	2026-06-09T01:25:00Z	False
ETH	2026-06-09T01:25:00Z	2026-06-09T01:34:42.387Z	2026-06-08T21:10:00Z	24	28	-4	-110	52	True	2026-06-09T01:25:00Z	2026-06-09T01:25:00Z	False
SOL	2026-06-09T01:25:00Z	2026-06-09T01:34:42.387Z	2026-06-08T21:10:00Z	25	27	-2	-252	52	True	2026-06-09T01:25:00Z	2026-06-09T01:25:00Z	False
BTC	2026-06-09T01:30:00Z	2026-06-09T01:39:42.666Z	2026-06-08T21:10:00Z	27	26	1	-133	53	True	2026-06-09T01:30:00Z	2026-06-09T01:30:00Z	False
ETH	2026-06-09T01:30:00Z	2026-06-09T01:39:42.666Z	2026-06-08T21:10:00Z	25	28	-3	-113	53	True	2026-06-09T01:30:00Z	2026-06-09T01:30:00Z	False
SOL	2026-06-09T01:30:00Z	2026-06-09T01:39:42.666Z	2026-06-08T21:10:00Z	26	27	-1	-253	53	True	2026-06-09T01:30:00Z	2026-06-09T01:30:00Z	False
BTC	2026-06-09T01:35:00Z	2026-06-09T01:44:54.382Z	2026-06-08T21:10:00Z	27	27	0	-133	54	True	2026-06-09T01:35:00Z	2026-06-09T01:35:00Z	False
ETH	2026-06-09T01:35:00Z	2026-06-09T01:44:54.382Z	2026-06-08T21:10:00Z	25	29	-4	-117	54	True	2026-06-09T01:35:00Z	2026-06-09T01:35:00Z	False
SOL	2026-06-09T01:35:00Z	2026-06-09T01:44:54.382Z	2026-06-08T21:10:00Z	26	28	-2	-255	54	True	2026-06-09T01:35:00Z	2026-06-09T01:35:00Z	False
BTC	2026-06-09T01:40:00Z	2026-06-09T01:49:57.414Z	2026-06-08T21:10:00Z	27	28	-1	-134	55	True	2026-06-09T01:40:00Z	2026-06-09T01:40:00Z	False
ETH	2026-06-09T01:40:00Z	2026-06-09T01:49:57.414Z	2026-06-08T21:10:00Z	25	30	-5	-122	55	True	2026-06-09T01:40:00Z	2026-06-09T01:40:00Z	False
SOL	2026-06-09T01:40:00Z	2026-06-09T01:49:57.414Z	2026-06-08T21:10:00Z	26	29	-3	-258	55	True	2026-06-09T01:40:00Z	2026-06-09T01:40:00Z	False
BTC	2026-06-09T01:45:00Z	2026-06-09T01:54:58.823Z	2026-06-08T21:10:00Z	28	28	0	-134	56	True	2026-06-09T01:45:00Z	2026-06-09T01:45:00Z	False
ETH	2026-06-09T01:45:00Z	2026-06-09T01:54:58.823Z	2026-06-08T21:10:00Z	25	31	-6	-128	56	True	2026-06-09T01:45:00Z	2026-06-09T01:45:00Z	False
SOL	2026-06-09T01:45:00Z	2026-06-09T01:54:58.823Z	2026-06-08T21:10:00Z	27	29	-2	-260	56	True	2026-06-09T01:45:00Z	2026-06-09T01:45:00Z	False
BTC	2026-06-09T01:50:00Z	2026-06-09T01:59:57.633Z	2026-06-08T21:10:00Z	29	28	1	-133	57	True	2026-06-09T01:50:00Z	2026-06-09T01:50:00Z	False
ETH	2026-06-09T01:50:00Z	2026-06-09T01:59:57.633Z	2026-06-08T21:10:00Z	26	31	-5	-133	57	True	2026-06-09T01:50:00Z	2026-06-09T01:50:00Z	False
SOL	2026-06-09T01:50:00Z	2026-06-09T01:59:57.633Z	2026-06-08T21:10:00Z	28	29	-1	-261	57	True	2026-06-09T01:50:00Z	2026-06-09T01:50:00Z	False
BTC	2026-06-09T01:55:00Z	2026-06-09T02:04:57.534Z	2026-06-08T21:10:00Z	29	29	0	-133	58	True	2026-06-09T01:55:00Z	2026-06-09T01:55:00Z	False
ETH	2026-06-09T01:55:00Z	2026-06-09T02:04:57.534Z	2026-06-08T21:10:00Z	27	31	-4	-137	58	True	2026-06-09T01:55:00Z	2026-06-09T01:55:00Z	False
SOL	2026-06-09T01:55:00Z	2026-06-09T02:04:57.534Z	2026-06-08T21:10:00Z	29	29	0	-261	58	True	2026-06-09T01:55:00Z	2026-06-09T01:55:00Z	False
