asset,strategy_name,diff_group,threshold,target_outcome,signal_markets,max_abs_diff_seen,instant_bets,instant_wins,instant_losses,instant_win_rate,instant_pnl_per_1usd,instant_roi_pct,instant_avg_entry_price,instant_price_above_cap,instant_missing_entry_price,instant_unsettled,strong_bets,strong_wins,strong_losses,strong_win_rate,strong_pnl_per_1usd,strong_roi_pct,strong_avg_entry_price,strong_price_above_cap,strong_missing_entry_price,strong_unsettled,binance_bets,binance_wins,binance_losses,binance_win_rate,binance_pnl_per_1usd,binance_roi_pct,binance_avg_entry_price,binance_price_above_cap,binance_missing_entry_price,binance_unsettled
"SOL","SOL Up or Down 5m Down 70 Diff Instant","Down",70,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"SOL","SOL Up or Down 5m Down 75 Diff Instant","Down",75,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"SOL","SOL Up or Down 5m Down 80 Diff Instant","Down",80,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"SOL","SOL Up or Down 5m Down 85 Diff Instant","Down",85,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"SOL","SOL Up or Down 5m Down 90 Diff Instant","Down",90,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"SOL","SOL Up or Down 5m Down 95 Diff Instant","Down",95,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"SOL","SOL Up or Down 5m Down 100 Diff Instant","Down",100,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"SOL","SOL Up or Down 5m Down 105 Diff Instant","Down",105,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"SOL","SOL Up or Down 5m Down 110 Diff Instant","Down",110,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"SOL","SOL Up or Down 5m Down 115 Diff Instant","Down",115,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"SOL","SOL Up or Down 5m Down 120 Diff Instant","Down",120,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
